Korean,English
살,flesh
당연히,naturally
데리고,along
필요한,necessary
없다,none
후,after
가고,Going
글쎄,Well
않는,not
했죠,Did
나의,my
별로,not really
않은,That is
라고,Called
집,House
여전히,yet
없을,There
딱,Perfect
있어서,In
이야기,story
엄마는,Mom is
부인,wife
하는데,to do
않고,Without
알았지,Understand
아니고,Rather
여자가,Woman
문,door
되지,It is not
거기서,at there
훨씬,more
아버지가,Father
망할,Fuckin
뭔지,What
손,hand
수술,Operation
듣고,listen
어쩌면,perhaps
보세요,look
생각이,Think
어느,which
그러지,Surely
되면,When
아마도,Perhaps
준비,Preparations
전화,telephone
뒤에,behind
도대체,why
너를,you
당신도,You
것처럼,Like
않으면,If the
말하는,talking
최고의,Great
말하지,Tell
세,three
모르는,do not know
유일한,only
갑자기,suddenly
이봐요,Hey
건가요,Are
없다고,That
것입니다,Will
있잖아요,You know
되고,And
어쨌든,anyway
가진,have
이번,this time
뭐하는,Doing
후에,after
친구가,Friends
지,G
신경,nerve
그만해,stop
누구야,Who is it
당신에게,to you
늘,always
없었어,I could
그들을,them
있게,Make
알잖아,You know
누군가,someone
분명히,clearly
생각을,Thoughts
존,zone
일단,First
가야,To go
걱정,worry
보자,Let's see
매일,everyday
수는,The number of
아침,morning
말할,Tell
말아요,Do not
모두가,everyone
않았어요,I did not
얘기를,To talk
봤어요,saw
대신,instead
마치,Like
건데,Gonna
자넨,You're
했잖아,Told
둘이,two people
당신과,with you
집으로,to home
한다,do
두고,Leave
이름을,name
있네,Itne
그들의,their
뭔데,What
금방,soon
사는,living
좋아하는,Favorite
찾을,Find
맘에,Like
결국,finally
이유가,the reason is
필요해요,I need
중에,While
그때,then
보는,see
너랑,with you
아이를,Children
없잖아,Beats
한다고,That
기분,Feeling
하게,to do
놈이,Guy
못해,can not
우리에게,To us
가면,mask
저를,me
잡아,catch
집에서,At home
우리도,We also
기분이,Feel
저희,we
찾고,Looking
손을,hand
거다,Gonna
어제,yesterday
남자가,Man
뭐지,What
앞으로,Forward
잠깐만요,Wait
자신의,Own
애가,keen
이상한,Weird
막,membrane
먹고,eat
아이,Child
언제나,always
여기가,here
아들,son
알게,Know
하세요,do it
총,gun
스스로,myself
방법이,Way
있던,It was
해봐,try
아님,no
때가,Time
아니죠,Not.
했던,Who
조용히,quietly
밤에,At night
미친,crazy
텐데,Would
머리,head
않습니다,not
잘못,mistake
고맙습니다,thank you
있어야,Must
왜냐하면,because
앉아,sit down
아침에,In the morning
죽일,Kill
환자,patient
양,amount
없죠,Eopjyo
일어나,wake up
믿을,Trust
같네요,Looks
건가,Did
게다가,Besides
알렉스,Alex
타고,Riding
데,place
들었어,Heard
눈을,Eyes
나에게,To me
없었어요,I had
만나서,to meet
진정해,Calm down
이것,this
더이상,Anymore
보지,Look
방법을,How to
원래,originally
솔직히,To be honest
좋지,It's good
하려고,going to do
빌어먹을,Hell
총을,The total
길을,Path
누군지,Who
아니라고,Not
자신을,Himself
여길,Here
있지만,Although
얼른,hurry
얘들아,Guys
대로,Road
만든,made
놈,bloke
조심해,be careful
일에,In one
따라,follow
술,alcohol
정확히,exactly
자기가,He is
충분히,enough
힘을,Power
아저씨,Mister
알겠지,got it
있었는데,It was
사랑하는,Loving
기다리고,Waiting for
될거야,Going
살아,live
평생,forever
아까,earlier
얘야,Hey
눈,Eye
거기에,There
애,Ke
분명,For sure
말하고,Speaking
역시,Also
저희가,we
찾아,find
걔가,He is
이럴,IMHO
저기요,excuse me
너와,with you
될까요,Can
천천히,slowly
문제,Problem
수술을,Surgery
좋았어,Cool
어디에,where
문을,The door
맞지,Right
어딨어,Where
조지,George
아녜요,'M not
저녁,dinner
됩니다,It's possible
마요,Mayo
생각엔,Think
만들어,make
적어도,At least
애들,kids
개,dog
잘했어,Well done
그러나,But
주,week
괜찮은,Good
생각은,Thoughts
위에,above
가끔,Sometimes
있었던,It was
간,liver
잠시,for awhile
알아서,By-self
곳에,Place
집을,House
그렇지만,nevertheless
그레이,Gray
그럼요,of course
삶을,The life
마음에,in the heart
살고,live
들고,Holding
분,minute
그랬어,I did
차를,The car
옆에,Next
아이가,The child
이번엔,this time
저게,That
아빠는,Dad
괜찮을,Be fine
하자,lets do it
알았는데,I thought
생각해요,Think about it
없는데,Ve
생각하는,Thinking
아니잖아,It's not
마지막으로,Finally
여자를,A woman
죽었어,Dead
멍청한,stupid
훌륭한,excellent
있었지,Stayed
정도,Degree
베일리,Bailey
준비가,Ready
남은,left
있으니까,Iteunikka
싫어요,I do not like it
입니다,is
영원히,forever
엄청난,exorbitant
정신,mental
는,It is
계세요,anyone there
하는지,That
좋을,Good
있었죠,Had
간다,Goes
기회를,Opportunities
그대로,as it is
하나도,Nothing
멈춰,stop
필요가,Need
도와줘,Help me
다음에,Next
앞에서,in front
뭐든,Whatever
물,water
밖으로,outside
오는,coming
그렇다면,if so
미국,United States of America
말라고,Not to
하지마,Do not
서,book
말한,Told
테니까,Ll
앞에,Before
를,The
처럼,like
저한테,to me
거고,Gonna
받아,receive
그것도,That too
요즘,Nowadays
믿어,believe
뒤로,backwards
놈들이,They are
입고,Wearing
보니,Bonnie
속에,inside
잠시만요,Wait
소리야,You mean
들어봐,listen
자기야,Honey
헤이,Hey
에,on
이해가,Understanding
옷,dress
들어가,Go in
아버지는,My father
않을거야,I'm not
있소,Itso
자네는,You are
모르겠지만,I do not know
누구도,No one
입,mouth
어머니,Mother
특별한,special
좋겠어,I wish
준,Associate
그것은,that is
관한,about
할게,I'll
여기는,here is
언니,sister
환자가,Patients
갈게,I'll go
나야,It's me
제게,Me
하루,One day
단,only
필,Phil
가세요,go
끔찍한,Horrible
걸로,Geolro
사랑,love
일도,Nothing
아름다운,beautiful
년,year
형,brother
뭐요,what
저런,Oh
별,star
아니다,no
받고,under
할거야,Going
쓸,Write
씨발,Fucking
돈이,money
그에게,to him
뭔가를,Something
마음을,Heart
문제는,the problem is
의,of
서둘러,Hurry
못할,Able
없네,Eopne
끝났어,it's over
있을거야,I'll be
머리를,Head
생각하지,Not think
뭐라고요,I beg your pardon
힘든,tiring
보게,Look
가게,store
말해봐,Tell me
밥,rice
상황이,Things
줘요,Give
만큼,as much as
했지만,Although
같은데요,I think
이름,name
엄마를,Moms
전화를,the phone
어쩔,Help
있니,Have
번째,th
할까,Should
얘길,Talk about
찾는,Looking
선생님이,Teacher
진짜로,really
일이에요,One's
건지,Guernsey
가족을,The family
할지,Whether
중이야,VAS
믿지,Trust
닥쳐,Shut up
여기로,Here
저건,That
주고,give
멀리,far
어이,Hey
거짓말,lie
약,about
잭,jack
사실은,The fact is
받을,Receive
그러고,Then
겁니까,Are you
먹을,Eat
그치만,But
너에게,Thee
들었어요,Heard
하기,doing
오빠,brother
오고,Coming
있을까,Can
어린,young
통해,through
아닌데,It's not
조금만,a little bit
맞는,right
차에,The car
여자는,Woman
보러,to see
손에,The hand
모르지,I do not know
가까이,closely
테니,I'll
되죠,Doejyo
점점,Getting
잔,glass
이야기를,Stories
물론이죠,Sure
학교,school
주는,That
아가씨,miss
먹어,eat
것에,What
크게,Big
이유는,The reason is
군,group
모두들,Everyone
죽인,Killing
셋,Three
알죠,Know
기억,Memory
경찰,police
제이,second
그래야,So that
목숨을,Their lives
있을까요,Will
아니지만,But not
했다,did
딸,daughter
많아,many
떨어져,away
사람이야,People's
다시는,never
거잖아,DSC02332
애들이,Kids
애를,The kids
을,of
말이다,Says
없다는,That
만들,make
오면,When
할게요,I'll
아기,Baby
영화,movie
가족,family
찾았어,I found it
특히,Especially
아들을,A son
제발요,please
꿈을,dream
세상을,The world
놈을,A guy
아니었어,It was not
마이크,MIC
그리,Draw
무엇을,what
만드는,fabricated
얼마,how much
보여요,Look
사진,Photo
칼,knife
잠시만,hold on
병원에,The hospital
같습니다,Like
바보,Fool
열어,open it
현재,Now
해줘,Do it
주지,gist
했습니다,I did
자주,often
있겠지,Dont
하는거야,Going to
샘,fountain
꺼져,Turned off
가만히,Still
그랬지,Yes it was
지금까지,until now
저거,that
당연하지,Of course
나서,Then
그것,that
또한,Also
보이지,Show
노래,Song
위험한,dangerous
클레어,Clare
쉽게,easily
오지,Coming
정말요,really
계획이,Plans
잡고,Grasp
열심히,hard
마라,Mara
경찰이,The police
말하면,Speaking
방에,In my room
됐다,done
마음이,Mind
메러디스,Meredith
운이,Lucky
드디어,finally
정보를,Information
말입니다,Horses
때는,When
얼굴을,The face
만난,Met
있거든,'Ve got
달,month
약간,slightly
했다고,That
일찍,early
굉장히,greatly
못해요,I can not
진실을,The truth
줄게,I'll give
아세요,do you know
누굴,Who
거라,Would
가족이,The family
새로,New
절대로,never
와요,come
알지만,I know
되어,Became
내려,get off
같네,Looks
그거야,That's
크리스티나,Christina
사이에,Between
자꾸,Repeatedly
저리,there
사실을,The fact
프랭크,Frank
와우,Wow
뛰어,run
갔어,Took
죽게,Death
네게,Thee
심지어,even
글쎄요,I do not know
사람의,people's
오랫동안,for a long time
모습을,Appearance
얘기가,Tak
아이고,Gosh
상관,relation
일하는,working
짐,load
길,way
사건,Incident
그렇다고,This does
들어요,listen
상황을,The situation
옷을,Clothes
일이죠,One's
아니예요,'M not
죽어,die
뿐이에요,I just
필요는,Need
여기요,Here you go
사랑해요,I love you
죽는,perishing
누군가가,Someone
얘기해,Tell
모두를,All
커피,coffee
있는거야,Hell
있으니,So
없지만,Although
열,Heat
다신,Again
만날,everyday
남자는,Man
저희는,We
떠날,Leave
맞죠,Right
아들이,Son
놈은,He is
하나가,One
의사,doctor
박사님,Dr.
나오는,Out
딸이,Daughter
거짓말을,lie
했고,It was
얼굴,Face
보내,send
받은,received
쓰고,Writing
곳이,Where the
된다고,That
설마,surely
우리한테,To us
방법은,Way
인생을,Your life
보이는,Look
정도로,Enough
아니오,no
여러,Various
자고,Sleep
한다면,if
실례합니다,Excuse me
기회가,The opportunity to
했을,Have
결혼,marriage
소리를,Sound
알았다,okay
해야지,Ought
완벽한,Perfect
있었다,there was
곳을,A place
겨우,barely
없으면,Without
아내가,wife
있습니까,Are
만들고,Create
비켜,Move
그것을,that
피를,Blood
못한,Who
말씀,words
자식,child
만약에,If the
위대한,great
써,Write
이리와,Come on
눈이,Snow
사람도,Person
요,Yo
자신이,myself
당신한테,To you
보통,usually
나갈,Out
문제를,The problem
보다,see
앉아서,Sit down
도와줘요,Help
원하지,Want
이쪽으로,Come this way
생각하고,Thinking
갑시다,let's go
사랑을,Love is
너네,Yours
조,article
밖에서,outside
들어와,come in
그렇군요,i See
척,chuck
같군,Looks
나온,From
같지,Unlikely
불러,Call
도움을,help
마음,mind
최선을,Best of
된다,do
곳으로,A place
아기를,Baby
죽이고,Killing
대단한,Great
뭐예요,what
환자를,Patients
똑같은,same
가능한,possible
친구들,friends
원해,want
좋아해,I like you
될까,Will
봤지,You see
방,room
몰라도,Without knowing
갈게요,I'll go
때도,Sometimes
움직여,in action
눈에,The eyes
숨을,Breath
음악,music
자는,sleeping
딸을,A daughter
모르겠네요,I do not know
의사가,Doctor
셜록,Sherlock
딴,different
가져와,Get
세상에서,in the world
소리가,Sound
시간은,time is
도울,Help
만한,Worth
남편이,husband
한다는,That
아버지를,Father
일로,Days
감옥에,In prison
됐지,OO
짓,act
순간,Moment
도와줄,Help
있도록,Help
할머니,grandmother
짓이야,It's done
쓰는,inscribed
했잖아요,I told you
너희들,you
피터,Peter
당신들,You
그날,that day
화가,artist
새끼,young
쓴,written
안에서,Within
최대한,Most
하네,'M
팀,team
이후로,after that
그들,them
이지,easy
그치,Is not it
죽었어요,Dead
곳에서,From where
때마다,Whenever
몸이,body
모든게,Everything
캠,cam
어차피,anyway
압니다,I know
기억이,memory
어딜,Everywhere
산,mountain
들려,hear
있네요,Itneyo
분이,Minutes
없어서,Because
이곳에,Here
미안하지만,sorry but
일어난,Happened
왔습니다,came
로스,Loss
속에서,inside
친구를,friends
모르지만,But
예쁜,pretty
몸을,The body
잊지,Remember
엄마한테,Mom
왔다,come
했는지,You have
타,Other
같군요,Sounds
명,persons
모든걸,Everything
하라고,Told
그렇습니다,That's right
때문이야,Because
있겠어,Could've
덕분에,Thanks to
싶으면,If you want
나가서,Go out
비밀,Secret
달라,different
것보다,Than
찾았어요,I found
대,versus
데릭,derrick
고통을,The pain
환자는,Patients
엄마랑,Mom
진정한,genuine
같다,same
생긴,appeared
병원,hospital
반가워요,Nice to meet you
내내,all the time
가도,street
생각에,Thoughts
오세요,Please come
이러지,Come on
따르면,according to
고맙네,Thank you.
할까요,should
사진을,Photos
않게,Prevent
한잔,a drink
않는다,Do
있었고,It was
되는데,There is
남자를,The man
안으로,in
알았죠,I knew
물론이지,Sure
보낸,From
피가,Blood
하니까,Because
아가,Baby
반드시,must
아무리,no matter how
얘기는,Talk about
잘못된,wrong
오케이,okay
알아야,Know
걸요,'D
해줄,That will
자리를,A place
문제야,Biggie
이유를,The reason
그러다,Then
약을,medicine
싶었어,Wanted
높은,High
같아서,Like
이해,understand
하나만,just one
돌아올,Return
있는게,Itneunge
좋습니다,good
좋다,good
배를,The times
찾아야,Find
못하게,Prevent
막을,Prevent
계획을,Plan your
루크,Luke
이래,since
모르고,unwittingly
없잖아요,Eopjanahyo
그녀,she
그동안,Meantime
거니,Are you
빼고,without
거긴,Pampering
이라고,It
그랬어요,Did
더는,Anymore
죽지,Dead
녀석,guy
몰랐어,I did not know
리,Lee
뭐라,what
박사,doctor
죽였어,Killed
믿고,To believe
좋네요,It's good
여기까지,So far
이쪽은,This is
사람들에게,To the people
아빠를,Dad
어려운,difficult
봤는데,I've been
적은,few
법을,The law
모르겠다,I do not know
신이,God
그렇고,By the way
관심,Attention
집이,House is
오직,Only
좋아해요,I like
있었습니다,It was
나은,better
않아도,Need
나면,After the
옛날,A long ago
얘가,The kid
식으로,In a way
그걸로,With it
냄새가,Smell
못하는,Who
인간,human
세상이,This world
책,book
모두에게,to everyone
말해줘,tell me
처음으로,For the first time
그러게,Yeah
실제로,in reality
제임스,James
데려다,Take
크리스마스,Christmas
보기,Example
신의,faith
말했잖아,I told you
말했어,Told
돌아갈,Return
한번도,never
긴,long
움직이지,Motionless
착한,kind
일이지,One page
쓰지,Write
곳,place
도와주세요,Help
그러죠,Sure.
거니까,You dont
곁에,beside
그녀에게,to her
그러는,"Meanwhile,"
머리에,The head
확인해,check it
싶어서,Wanted
것들을,Things
데이트,Date
사고,accident
한거야,HAN
세상,world
감사해요,Thank you
책을,Books
배,ship
젊은,young
가자고,Let's go
아닌가,is not it
좋겠어요,It's good for you
비행기,airplane
맥스,Max.
하잖아,'Re
없소,Eopso
애들은,The kids
오늘밤,Tonight
고맙다,Thank you
라는,in
언젠가,someday
필요할,Needed
아이들을,Children
우리와,Us
머리가,Head
그것이,That is
세계,World
애는,Kid is
죽여,Kill
차가,car
죽고,Die
따라와,Follow
힘이,strength
확실해,Are you sure
기억해,remember
있어도,Even
자네를,You.
오래된,old
기억나,I remember
루시어스,Rusieoseu
분은,Minutes
얘기하고,And talking
상관없어,I do not care
다섯,five
이제는,now
없네요,Eopneyo
돌아가,go back
자리에,In place
이만,this much
바랍니다,wish
느낌이,the feeling is
어머,Oh
뭐든지,anything
되요,Can I
마약,drug
행운을,Good luck
봐야,Look
선생님은,The teacher
줄은,Line
몰래,stealthily
불쌍한,poor
아니잖아요,Not You
있거든요,'M
며칠,few days
저랑,Me
결코,never
이걸로,With this
안녕히,Bye
아이는,Children
자네의,Your
입을,Mouth
근처에,Near
들은,It is
뭐하는거야,What are you doing
기다려요,Wait
뭐라도,Anything
않지만,Although
배가,My stomach
뒤,rear
어떡해,what can I do
몸,body
죽이지,Kill
가질,Have
해주세요,Please
봐라,Look
어서요,Come on.
어째서,why
놓고,Place
지금도,Even now
아나,Ana
맞다,right
좋네,'S good
의해,due to
시간에,In time
차라리,rather
헨리,Henry
가끔은,Sometimes
생각했어,I thought
할아버지,grandfather
덜,Less
곳은,Place
남편,husband
애들을,The kids
구할,Save
싶은데,I want
불,fire
생일,birthday
저렇게,Like that
돈은,Money
아직은,Not yet
상태가,Condition
위로,up
가져,take it
얘긴,Talk about
안전한,safe
실수를,A mistake
미리,already
모를,Unknown
명이,People
사랑에,in love
전엔,Ago
갔어요,went
갖다,have
대화를,Conversation
하나는,The one is
벤,Ben
지도,map
가능성이,possiblity
하는게,Haneunge
있는데요,I'm
실은,actually
먹는,Eating
확인,Confirm
심각한,Serious
달라고,Have
것만,Just
있기,It
그와,He and
형사님,Detective.
모르죠,I do not know
몰랐어요,I did not know
결정을,Decisions
파티,party
날이,the day
최악의,The worst
많아요,many
죄송하지만,I'm sorry
있었는지,What was
미스터,Mister
평범한,Normal
뜻이야,You mean
올게,I'll
살인,Murder
있겠죠,Guess
들을,The
믿어요,believe
우선,priority
마시고,Drinking
당신들이,You guys
자네도,You also
혼자서,alone
심장,Heart
좋은데,Good
그런거,Geureongeo
그들에게,To them
녀석이,Guy
하면서,while doing
좋아하지,Like
너희가,You
처음부터,From the beginning
심장이,Heart
보낼,To send
가만,wait
않는다면,If the
심장을,Heart
자넬,Delightfully
뭐라구요,what
갔다,went
고양이,cat
위치를,Location
첫번째,first
생각도,Thinking of
동생,Brother
못했어,I can not
않았다,It was
내버려,Leave
진심으로,Heartily
당연하죠,Absolutely
번도,Occasions
둘다,both
과장님,Supervisor
중입니다,Is being
마침내,Finally
씨가,Mr.
검은,black
오말리,O'Malley
봐도,Look
적도,equator
아닐,It is not
다리,Bridge
무기를,Weapons
주면,Give
돌아,turn
릴리,Lily
뭔가가,Something
따로,seperately
없으니까,Because there
어디야,where are you
끝까지,to the end
준비해,Have
카메라,camera
아무튼,Anyway
알다시피,as you know
죽으면,Dies
않죠,Joggers
만나,meet
않나,Not it
아니라면,Unless
임마,Hey
중이에요,I'm
누군가를,Someone
있을지,Whether
있단,Vivo
돌아와,Come back
메리,Merry
보자고,Let's
돼서,Dwaeseo
들어갈,Fit
않지,Anji
목을,Neck
마크,Mark
정도는,The degree of
아는데,I know
게임,game
강한,strong
정말이야,Really
받는,subject
물건을,item
무서워,I'm scared
것으로,To
얘기할,To talk
싶었어요,Wanted
수정,Modified
걱정하지,Not worry
뭐에요,What is it
제길,damn
가치가,Worth
말인지,I mean
수술이,Surgery
없다면,Without
톰,Tom
클라라,Clara
삼촌,uncle
찾은,Find
질문,Questions
저들이,They are
서로를,Each other
얼굴이,The face
아무래도,Somehow
당신들은,You are
사건을,Events
됐죠,Thats
꿈,dream
입은,Mouth
받았어,I got
할수,Could
빠져,Out
물을,the water
아기가,Baby
닉,Nick
것과,What
명령을,The command
부터,from
거라면,If you're
죽이는,killing
정신이,Spirit
아파,hurt
모르겠네,I do not know.
똑같이,same
꽤나,quite
되잖아,You are
형이,Brother
밑에,under
아니었어요,It was not
어렸을,I was young
말했어요,Told
그만해요,stop it
에서,in
학교에,at school
아무런,Nothing
글로리아,Gloria
반,half
아이들이,the kids are
그리곤,Then
거냐,Geonya
한데,Together
아버지의,Father
받지,Receive
일하고,Working
말이오,Say five
없나요,Is there
원한다면,If you want
생각할,Think
버려,throw away
즉시,Immediately
거대한,giant
가봐,GO
발,foot
들어가서,Went into
시작,start
사람에게,Person
내놔,Bare
행복한,happy
나머지,Remainder
윌,Will
도와,help
노래를,song
왔는데,Came
요원,agent
되게,very
누구죠,Who
얼굴에,In the face
하실,You
환영합니다,welcome
걸까,I wonder
되겠지,Oughta
괜찮지,Are you fine
하던,Who
아내를,A wife
놈의,Chappy
미쳤어,Crazy
이것도,This also
일부러,Intentionally
혹은,or
나올,Out
찾으러,Find
걔는,She's
잡을,Catch
똑바로,upright
얻을,get
이해해,I understand
무지,ignorance
쪽으로,towards
무슨일이,what happened
이해할,Understandable
친구야,friend
어머니가,mother
질문을,The question
워,Wars
엎드려,Down
있단다,Itdanda
너희들이,You guys
놈들,They
병원에서,In the hospital
친구는,Friends
믿는,To believe
회사,company
떨어진,fallen
간에,Between
쪽,side
다야,Daya
선물,Gift
안되는,Should not
찾아서,Find
전쟁을,The war
친구들이,Friends
마이클,Michael
싸울,Fight
만나고,Meet
기다리는,waiting
쉬운,easy
매니,Manny
말로는,Says
관심이,Interest
에이미,Amy
사람이에요,People's
끝난,done
원치,Answer
재밌는,fun
말인데,Speaking
그렇겠지,Suppose yes
피,blood
예전에,Before
건배,Cheers
뭔데요,What
알면,Knowing
엄마도,Mom
것들이,Things
하려는,To
맨날,everyday
있군,Itgun
물러서,Retreat
숨,breath
팔,arm
더러운,dirty
옳은,correct
출혈이,Bleeding
즐거운,happy
다음엔,Next time
뭐해,What are you doing
준비됐어,Ready
검사,inspection
제기랄,Shit
길이,Length
나만,only me
있고요,Itgoyo
이것은,this is
좋겠다,I envy you
전에도,Before
함장님,Captain
나쁘지,Bad
관해,About
원,won
죽음을,Death
사람들의,People's
해라,do it
알잖아요,You know
거란,Going
다리를,The bridge
어젯밤에,Last night
보내고,Spending
쟤가,BOY
오후,afternoon
영향을,Affect
바라는,Wish
만나러,To meet
이러는,Doing this
다음은,next
보죠,Let's
말해야,Tell
몸에,The body
아빠한테,Dad
약속을,promise
드릴게요,I'll
미안하다,I'm sorry
바람,wind
있다고요,It is calm
은,silver
하나를,One
최소한,at least
전하,Majesty
조니,Johnny
발사,launch
무서운,scary
못하고,Unable
이길,Beat
일어날,Place
말하자면,as it were
까지,Until
나보다,than me
둘은,Both
놈들은,They are
능력을,The ability
차에서,In the car
않네,Wasnt
생각했어요,I thought
그랬죠,It did.
상처를,Wounds
생겼어,Shaped
물이,water is
가까운,near
켄,Ken
없나,Eopna
보라고,Look
불을,Fire
종일,all day
레이,Lay
아이구,Oops
미래를,The future
하나의,Single
점심,lunch
나가요,Get out
최근에,Recently
있었다고,Had
최고,Best
가라,go
파티에,The party
진짜야,Really
아픈,Hurt
리가,Riga
것들,those
전에는,late
맞았어,You're right
걸어,walk
않나요,Should
효과가,Effect
때부터,From the time
수술에,Surgery
되나요,Will
도시,city
