Danish,English
lyst,bright
viser,shows
fred,peace
dollars,dollars
værre,worse
aftale,appointment
sidst,last
find,find
spørger,asks
steder,sites
tom,empty
plan,level
rejse,trip
udenfor,outside
hente,pick up
svar,reply
dræber,killer
unge,young
ansigt,face
ej,not
held,luck
købe,buy
værd,worth
betale,pay
kendte,known
dårligt,bad
klart,clear
endelig,finally
beskytte,protect
findes,found
spil,game
roligt,quietly
let,easy
sender,sends
værelse,room
stod,stood
fyre,fire
dårlig,bad
bede,ask
land,country
henter,download
derude,out there
oppe,up
begyndte,began
hoved,main
person,person
stykke,piece
træt,tired
by,town
manden,the man
sex,sex
sikke,sikke
natten,the night
kære,Dear
sikkerhed,security
mødes,meet
sove,sleep
ønske,wish
skynd,hurry
idiot,idiot
fald,decrease
dr,Dr.
tøj,clothing
miss,miss
bo,stay
mangler,missing
hva,huh
kaffe,coffee
sidde,sit
føles,feels
godmorgen,Good morning
nede,down
frank,Franks
røven,the ass
lykke,happiness
millioner,millions
mente,thought
givet,given
derinde,in there
jamen,But
dum,stupid
syg,ill
søde,sweetie
rart,nice
mindste,minimum
kl,at
husk,remember
kæmpe,competing
hænder,hands
mærke,feel
rette,right
svin,pig
lod,sounded
york,york
film,movie
desværre,unfortunately
krig,war
tal,speak up
skrive,write
forhold,relationship
skade,damage
herre,Mister
fængsel,prison
spurgte,inquired
syv,seven
større,bigger
familien,the family
godnat,good night
skyde,shoot
lig,equal
øjnene,the eyes
spiser,eat
følge,follow
følger,follows
goddag,good day
hund,Dog
herrer,gentlemen
vinder,winner
godeste,Goodness
træk,drag
anderledes,different
kamp,match
uanset,whatever
blot,just
gider,bother
sendte,sent
drikke,drinking
travlt,busy
charlie,charlie
vild,wild
afsted,leave
fest,party
tillykke,Congratulations
venstre,left
passe,fit
betaler,pays
læse,read
kør,drive
dollar,dollar
skød,lap
brugte,used
vred,angry
stole,chairs
skole,school
joe,joe
mike,mike
højt,high
højre,right
bekymret,concerned
michael,michael
tjeneste,favor
tja,Well
hertil,here
utroligt,unbelievable
straks,immediately
onkel,uncle
åbne,open
råd,advice
kørte,driving
telefon,telephone
skudt,shot
fru,Mrs
knægt,boy
største,largest
løbe,run
otte,eight
skolen,the school
sende,send
hår,hair
forklare,explain
dejligt,lovely
kontor,office
sendt,sent
javel,javel
eget,own
vejret,weather
tingene,the things
fbi,fbi
damer,ladies
pigen,the girl
ung,young
billede,image
lede,look for
pistol,pistol
peter,peter
david,david
børnene,children
mord,murder
menneske,human being
fandens,damn
spor,track
normalt,normally
dele,parts
ende,end
bog,book
mødte,met
hvide,white
mødt,met
kigger,look
ægte,genuine
vinde,win
doktor,doctor
mistet,lost
dyr,animals
indenfor,within
sover,sleeping
stopper,stops
glemt,forgotten
læge,doctor
skyder,shoot
bord,table
fyren,the guy
bedst,best
røv,ass
elske,love
faldt,fell
lys,light
slemt,bad
lyver,lying
george,george
begynde,begin
ha,ha
betjent,cop
slået,beaten
sikre,ensure
forlade,leave
advokat,lawyer
ændre,amend
beviser,proof
aftes,last night
fanget,caught
telefonen,phone
lærer,teacher
baby,baby
kendt,known
dumme,stupid
overhovedet,all
sort,black
ene,one
usa,USA
kalde,call
middag,dinner
herinde,in here
forsøger,try
james,james
sekunder,seconds
født,born
skrev,wrote
kig,look
skriver,write
hænderne,the hands
selvom,though
nemlig,Exactly
mistede,lost
landet,the country
arbejdede,worked
tidspunkt,point in time
smukt,beautiful
falder,falling
flytte,move
hent,fetch
problemet,the problem
underligt,weird
skylder,owe
egne,own
brugt,used
oh,oh
sad,sat
smukke,gorgeous
fly,flight
fare,danger
rejser,travel
umuligt,impossible
ærligt,honestly
ide,idea
vildt,game
øl,beer
prøvet,tried
slippe,get rid
fuck,fuck
hospitalet,the hospital
skyd,shoot
kende,know
tidligt,early
dame,Lady
skør,crazy
stolt,proud
løber,runs
fars,father
sat,set
lægge,put
rent,clean
føle,feel
enhver,any
netop,exactly
mund,mouth
makker,mate
døden,Death
drink,drink
pokker,hell
billeder,Pictures
pris,price
alting,everything
sælge,sell
fange,capture
reddede,saved
ødelægge,destroy
vandet,the water
stemme,vote
kigge,look
tør,dry
savner,miss
sorte,black
løgn,lie
gave,gift
krop,body
kontakt,Contact
ringet,call
fortsæt,continue
sur,angry
stoler,trust
ære,honour
forsigtig,cautious
fleste,most
sid,sid
starte,start
ordne,fix
præsident,president
glemme,forget
stærk,strong
rør,tube
miste,losing
sang,song
stil,style
glemte,forgot
pænt,nice
gutter,guys
halv,half
åben,open
naturligvis,course
færdige,done
mrs,Mrs.
angreb,attack
lægger,puts
lkke,Not
smule,bit
ender,ends
forkerte,false
fin,fine
skidt,bad
tony,tony
lukket,closed
pa,on
pludselig,suddenly
hav,sea
drøm,dream
ryger,smoking
barnet,the child
skål,Cheers
stjal,steals
syntes,thought
følg,follow
mary,mary
midt,in the middle
sulten,hungry
vender,turn
følelser,emotions
hjalp,helped
bestemt,specific
direkte,direct
øh,uh
fortjener,deserve
starter,starts
både,both
virkede,worked
interessant,interesting
lejlighed,apartment
røvhul,asshole
vende,reverse
guds,God
henry,henry
undskylde,excuse
overalt,everywhere
paul,paul
oberst,colonel
lært,learned
derovre,over there
ønskede,wished
styr,steering
masser,lots
historien,the story
nick,nick
frue,lady
tv,TV
heldig,lucky
max,max
stykker,pieces
fører,driver
køber,buyer
egentlig,actually
sarah,Sarah
mister,lose
mål,Goal
kræver,demands
ro,ro
blå,blue
jimmy,jimmy
købte,bought
sælger,selling
a,a
værste,worst
slipper,release
luften,the air
forlod,left
minder,Memories
musik,music
skrevet,written
skønt,wonderful
måned,month
dumt,stupid
general,general
alex,alex
mulighed,possibility
fader,father
verdens,the world
satte,sat
send,send
ærlig,honest
lå,was
brød,Bread
høj,high
meter,meters
forsøgte,tried
lovede,promised
drikker,drinking
ens,alike
enkelt,single
forsvandt,disappeared
løs,loose
stand,able
ni,nine
kaldte,called
trækker,draws
danny,danny
spørg,ask
morges,this morning
bryder,breaks
trække,drag
hurtigere,faster
lagde,put
ødelagt,destroyed
seriøst,seriously
slås,fight
sødt,sweet
dengang,back then
an,an
stemmer,votes
tredje,third
harry,harry
nemt,easy
løj,lied
lyset,the light
tegn,sign
ren,clean
levende,live
læst,read
medmindre,unless
sov,slept
fortsætte,continue
nær,near
forskellige,various
ejer,owner
tide,time
jul,Christmas
møder,meetings
skaffe,provide
hånden,the hand
viste,showed
ét,one
sa,so
mon,mon
snak,chat
lærte,taught
respekt,respect
danse,dance
lege,play
adgang,access
frokost,lunch
forelsket,in love
taber,loser
skid,skid
stol,chair
interesseret,interested
hård,hard
skam,shame
gaden,the street
jim,jim
bed,pray
gravid,pregnant
nervøs,nervous
satan,satan
lukke,close
vælge,choose
krigen,the war
drengen,boy
hvilke,which ones
tjener,serving
magt,power
stoffer,drugs
fart,speed
hel,whole
fremtiden,the future
venlig,friendly
enten,either
ray,ray
hul,hole
flyve,fly
tusind,thousand
derhen,there
smid,throw
o,island
ordner,fixes
forlader,leave
sko,shoe
date,date
evigt,forever
enig,agrees
bagefter,afterwards
morder,killer
frøken,miss
opgave,task
alvorligt,seriously
bill,bill
plejede,used to
nødvendigt,necessary
skrid,slip
farligt,dangerous
nar,when
personligt,personally
nyheder,news
hov,Oops
søger,searching
vandt,won
richard,richard
sjæl,soul
særlig,particular
ekstra,additional
sværger,swear
såret,hurt
klarede,did
bar,bar
valgte,selected
forsvind,get lost
klaret,done
løbet,run
mors,mother
ligge,lie
begyndt,started
bekymre,worry
lav,low
røre,touch
flyt,move
lytter,listen
besøg,visit
spillet,the game
planen,the plan
endda,even
red,red
åbenbart,apparently
tommy,tommy
jesus,jesus
nød,enjoyed
dér,there
især,especially
festen,the party
lukker,closes
ifølge,according to
mindst,least
kampen,the fight
ramt,hit
konge,king
himlen,heaven
jobbet,the job
søvn,sleep
området,the area
is,ice
klog,clever
flytter,moves
læser,reader
tjek,check out
købt,purchased
åbn,open
ild,fire
fjols,fool
ordre,order
vore,our
form,form
flyet,the plane
kontrol,control
fortsætter,continues
retten,right
glemmer,forget
rum,room
claire,claire
tænder,teeth
fatter,understand
lykkelig,happy
nærheden,nearby
kammerat,companion
pokkers,damn
ventet,expected
glas,glass
skabe,create
åbner,opens
falde,fall
følte,felt
planer,plans
særligt,special
tii,tii
ryggen,back
blandt,among
r,r
myrdet,murdered
wow,wow
fandeme,fucking
mark,field
navnet,the name
paris,Paris
bevise,prove
tilfælde,coincidence
lagt,subject
pistolen,gun
bob,bob
hed,hot
tjene,serve
lyve,lie
hverken,neither
vilje,will
tit,often
rachel,rachel
glæder,look
ovenpå,on top
takke,thank
præsidenten,the president
forbandede,damned
derfra,from there
bringe,bring
fungerer,acts
medicin,medicine
oplysninger,information
røde,red
lækker,delicious
stakkels,poor
hjerne,brain
drømme,dream
onde,evil
dårlige,bad
dybt,deeply
mødtes,met
undgå,avoid
yeah,yeah
dejlig,lovely
vågn,wake
kæmper,fighting
parat,ready
håb,hope
dernede,down there
chancen,chance
betalt,paid
fremtid,future
højere,higher
overstået,over
gratis,free of charge
beslutning,decision
dygtig,clever
frygt,fear
venligst,Please
selvmord,suicide
skud,shot
kys,kiss
stjæle,steal
ofte,frequent
gulvet,the floor
plejer,carer
anholdt,arrested
skib,ship
overleve,stay alive
ændret,changed
glæde,joy
stak,stack
smart,smart
sengen,the bed
forskel,difference
ventede,waited
fornøjelse,pleasure
lægen,the doctor
tjekke,check
london,London
martin,martin
partner,partner
hvid,white
vagt,guard
føre,lead
bobby,bobby
skoven,the forest
tanker,thoughts
ansvar,responsibility
km,km
fyldt,full
vælger,choose
billy,billy
efterlod,leaving
smerte,pain
satans,satans
røg,smoke
dræb,kill
giftes,married
varmt,hot
støtte,support
meningen,supposed
sten,stone
hyggeligt,cozy
savnet,missing
derefter,then
vigtig,important
forsvinder,disappears
steve,steve
gælder,apply
styre,manage
låne,borrow
deroppe,up there
fyret,fired
startede,started
chris,chris
skibet,ship
mærkeligt,strange
fisk,fish
område,territory
bestemmer,determines
bortset,apart
kald,call
ældre,elderly
overraskelse,surprise
ramte,hit
lytte,listen
flyver,fly
fjerne,remove
fødselsdag,birthday
jake,jake
solen,the sun
love,lion
kongen,the king
hemmelighed,secret
spændende,exciting
hest,horse
will,will
stjålet,stolen
styrke,strength
fængslet,The prison
hænger,hangs
forestille,imagine
spillede,played
bære,bear
kørt,driven
dét,that
ødelægger,destroying
pigerne,the girls
bringer,brings
udmærket,fine
sørge,mourn
walter,walter
smutter,slips
te,tea
vend,turn
hær,army
d,d
thomas,Thomas
skridt,steps
brænder,writer
of,of
fed,fat
fanger,prisoners
hotel,hotel
vin,wine
virke,work
situation,situation
stikker,sticking
sørg,make
derind,in there
løjtnant,lieutenant
lugter,smells
glip,miss
forsøg,attempt
koster,costs
jord,land
boede,lived
amerikanske,US
eddie,eddie
liget,corpse
johnny,johnny
gemmer,hide
forbindelse,connection
tilhører,belongs to
vegne,behalf
bordet,the table
kælling,crone
opkald,call
daniel,Daniel
munden,mouth
kontoret,the office
start,start
bedt,asked
svare,reply
kate,kate
sindssyg,insane
selskab,company
bryde,break
glade,happy
vidne,witness
erne,s
kraft,power
regler,rules
uheld,mishaps
halvt,half
synge,sing
båd,boat
forsvundet,disappeared
bogen,the book
nøglen,the key
knap,button
sager,cases
gifte,marry
henne,pregnant
ødelagde,destroyed
beholde,retain
rejs,traveling
lyt,listen
gal,mad
mester,master
gruppe,group
ganske,quite
fuldstændig,complete
soldater,soldiers
tvivl,doubt
alder,age
læste,read
luft,air
ledte,looking
besøge,visit
biler,cars
absolut,absolutely
toilettet,the toilet
ofre,sacrifice
arthur,arthur
herude,out here
engelsk,English
ændrer,change
gibbs,gibbs
stiller,make
rend,troughs
forventer,expect
drejer,These
tabt,lost
politi,police
hurtig,quick
mrs.,mrs.
flygte,escape
trist,sad
koldt,cold
sejt,tough
reglerne,the rules
modtaget,Received
halvdelen,half
herhen,here
kræfter,strength
navne,names
frisk,fresh
dommer,judging
brev,letter
pete,pete
la,la
dean,dean
jane,jane
procent,percentage
minut,minute
amerika,America
liste,list
skæbne,fate
fod,foot
rige,realm
vor,our
kop,cup
professor,professor
varm,warm
vinduet,window
vrede,anger
hop,hop
morgenmad,breakfast
smed,blacksmith
maden,the food
tabte,lost
fulgte,followed
samtale,conversation
anna,anna
låst,locked
pik,dick
kevin,kevin
svaret,the answer
ordrer,orders
træ,tree
svarer,corresponds
korrekt,correct
ma,must
langsomt,slowly
håbede,hoped
brødre,brothers
nærmere,closer
smide,throw
guld,gold
robert,robert
gemme,Saving
herind,in here
stoppede,stopped
loven,the law
kød,meat
dave,dave
optaget,taken
gangen,time
bærer,carrier
million,million
hævn,revenge
spist,eaten
offer,victim
ed,oath
rører,touching
ovre,upper
smutte,slip away
ryan,ryan
and,spirit
sergent,sergeant
skifter,change
dens,its
havet,the ocean
pause,break
amy,amy
derhjemme,at home
washington,washington
bank,bank
valgt,selected
overfor,transfer
hjertet,the heart
mission,mission
tilladelse,permission
charles,charles
soldat,soldier
trods,Despite
styrer,controls
led,part
stikke,sting
dukker,dolls
street,street
bevis,proof
grin,laughs
skabt,created
slag,stroke
halsen,neck
tjekker,checking
kiggede,looked
bygge,build
forretning,business
snakkede,talked
forfærdeligt,terrible
vidt,far
bøger,books
målet,the goal
barry,barry
arm,arm
billedet,the picture
høje,tall
ted,ted
bygningen,the building
rene,clean
beskytter,protects
tante,aunt
pakke,package
totalt,in total
magi,magic
løse,solve
vidst,known
fortræd,mischief
morderen,the killer
kvinden,the woman
klasse,class
trænger,need
uskyldig,innocent
skiderik,turd
ferie,holiday
skyldig,guilty
forsvinde,disappear
frihed,freedom
ansigtet,the face
kilometer,kilometer
city,city
næppe,barely
smil,smile
overlever,survives
dan,dan
træner,coach
flyttede,moved
undersøge,look into
godaften,good evening
farlig,dangerous
ægteskab,marriage
mørke,darkness
seneste,most recent
emily,emily
ulykke,accident
skjule,hide
chuck,chuck
ugen,week
ond,evil
t,t
angrebet,attack
firma,Business
jason,jason
lee,lee
computer,PC
personer,people
lyd,sound
aftenen,evening
ballade,Trouble
eksempel,example
fede,obese
cia,cia
skilt,sign
lokale,local
opmærksomhed,awareness
kjole,dress
fjern,Remove
major,Gen.
bekymrer,worries
bort,off
sluk,power off
sherif,sheriff
forsøge,try
filmen,the movie
nåde,mercy
herover,above
rod,red
rummet,the room
betalte,paid
rød,red
toget,the train
taske,bag
spis,eat
solgt,sold
hænge,hang
rig,rich
grunden,the reason
type,type
luder,whore
mands,man
maria,maria
gudskelov,thank God
joey,joey
spiste,ate
tider,sometimes
bryllup,wedding
skylden,blame
kat,cat
utrolig,incredible
enige,agree
regeringen,the government
hvile,rest
ordentligt,properly
æg,egg
rose,rose
drik,drink
brian,brian
adam,adam
kaldes,is called
sørger,provides
spørgsmålet,the question
tilbud,offer
gas,gas
drengene,boys
bud,bid
gæt,guess
deler,shares
chefen,the boss
fremad,forward
vilde,wild
brænde,burn
solgte,sold
fulde,full
kirken,the church
imellem,between
løfte,lift
adresse,address
jaså,jaså
evner,skills
bedstefar,grandfather
tiders,ages
sara,sara
tidlig,early
kysse,Kissing
dække,cover
nåede,made it
varme,heat
undskyldning,excuse
tanke,thought
rolle,role
skaber,creates
vigtigste,most important
overrasket,surprised
angående,regarding
regne,figure
desuden,Moreover
fælde,trap
skriv,write
energi,energy
tøs,lass
køkkenet,the kitchen
minde,remind
gid,may
bedstemor,grandmother
varer,goods
privat,private
visse,some
endte,ended
smider,throw
drop,drop
muligvis,possibly
års,years
fjender,enemies
række,row
forstod,understood
årevis,for years
karriere,career
synd,sin
morsomt,funny
andy,andy
hunde,dogs
carter,carter
skifte,switch
tæller,counting
abby,abby
smager,tastes
lukkede,closed
perfekte,perfect
all,all
smut,slipped
scott,scott
regel,rule
tosset,crazy
william,william
voksen,adult
right,right
skøre,crazy
virkeligt,real
fredag,Friday
dronning,queen
forladt,abandoned
position,position
san,san
dans,dance
kaste,throw
sej,cool
ah,ah
tekster,texts
tillid,confidence
bombe,bomb
flyttet,moved
hernede,down here
nævnte,mentioned
mareridt,Nightmares
reddet,saved
muligheder,opportunities
super,super
lød,sounded
stands,Stop
hejsa,Hi there
stærkt,strongly
specielt,especially
rom,Rome
floden,the river
kniv,knife
rejste,traveled
louis,louis
hemmeligheder,secrets
holdet,the team
foretrækker,prefer
listen,list
betyde,mean
sært,oddly
båden,the boat
samle,gather
matt,matt
mistænkte,suspects
herovre,over here
rammer,framework
fine,fine
slappe,relax
forklarer,explains
dna,dna
succes,success
situationen,the situation
heldige,lucky
simon,simon
don,don
bruges,used
systemet,the system
banken,the bank
gæster,Guests
historier,stories
carl,carl
græde,cry
av,Ouch
vågen,awake
opdagede,discovered
samlet,gathered
regner,rains
lisa,lisa
hotellet,the hotel
kamera,camera
information,information
leger,play
dæk,tire
mobil,mobile phone
retning,direction
planlagt,planned
trak,drew
nærmer,approaching
stærkere,stronger
luke,luke
falsk,False
hank,handle
øen,the island
efterlade,leave behind
vågner,wake
vigtige,important
skære,cut
fødder,feet
lange,long
oliver,Oliver
nægter,denies
kors,cross
veninde,friend
normal,normal
bygget,build
fætter,cousin
firmaet,the company
folkens,folks
faldet,decreased
tættere,closer
knæ,knee
stærke,strong
vanvittig,crazy
flok,flock
bevæger,moving
lyde,sounds
lady,lady
hæren,the army
skræmmende,daunting
savne,miss
mexico,mexico
hundrede,hundred
lord,Lord
jerry,jerry
gøres,done
meste,most
lugte,odors
show,show
starten,beginning
lily,lily
kroppen,the body
dobbelt,double
bukserne,pants
smidt,evicted
emma,emma
los,loose
skader,damage
danser,dancing
nået,reached
vundet,won
rapport,report
stinker,stinks
nyder,enjoy
unger,kids
bånd,tape
griner,laughs
besluttet,decided
opfører,behaves
glædelig,merry
ryge,smoke
omgang,lap
planet,planet
team,team
lettere,easier
college,college
big,big
bussen,the bus
toppen,the top
gemt,saved
ordnet,sorted
robin,robin
ramme,frame
kameraet,camera
mordet,murder
lækkert,delicious
stik,plug
prisen,the price
england,England
herren,the Lord
cirka,approximately
majestæt,majesty
rar,pleasant
samarbejde,Cooperation
jøsses,Jeez
hunden,The dog
virkeligheden,reality
ordet,the word
lørdag,Saturday
hat,hat
blomster,flowers
syge,ill
grænsen,the border
phil,phil
pres,pressure
læs,read
flaske,bottle
bukser,pants
larry,larry
hellige,Saints
synger,sings
blodet,blood
smag,taste
signal,signal
tydeligt,clearly
slem,bad
skræmmer,scares
cool,cool
broen,the bridge
fair,fair
mørkt,dark
hvabehar,eh
træd,distinguished
tvivler,doubts
hemmeligt,secretly
ryg,back
kyle,kyle
tabe,lose
bagved,behind
takket,thanks
jackson,jackson
maggie,maggie
jones,jones
vold,violence
bytte,exchange
sand,true
kirke,church
fremmede,strangers
skændes,quarrel
ross,ross
tilfreds,satisfied
forsøgt,tried
leg,play
stranden,the beach
redder,saves
lucy,lucy
frygter,fear
involveret,involved
sind,mind
anelse,suspicion
begyndelsen,the beginning
drak,drank
tanken,idea
dukkede,appeared
spurgt,asked
you,you
behøvede,needed
susan,susan
ledt,guided
tilgiv,forgive
leo,leo
myrdede,murdered
tilgive,forgive
sværd,sword
fortid,ahead of time
stjæler,stealing
eftermiddag,afternoon
sekund,second
eric,eric
inviteret,invited
begik,committed
sovet,slept
alice,alice
aftalen,Agreement
løsning,solution
fucking,fucking
hemmelige,secret
papirer,papers
kaster,throws
nul,zero
broder,brother
klap,flap
tilstand,condition
forvirret,confused
fjende,enemy
rask,healthy
afstand,distance
betjente,cops
hjernen,the brain
kugle,ball
forretninger,businesses
stationen,station
m,m
mørket,the darkness
nedenunder,below
jep,Yup
blind,blind
løn,pay
li,Li
nyde,enjoy
måder,ways
fælles,common
falske,false
sexet,sexy
græder,crying
trussel,threat
førte,resulted
baren,the bar
acceptere,accept
hustru,wife
forklaring,explanation
præsentere,introduce
morgan,morgan
operation,operation
sprog,language
tryk,pressure
forslag,proposals
gætte,guess
året,the year
piller,pills
fingre,fingers
fejre,celebrate
kylling,chicken
frit,free
kong,King
skabte,created
voksede,grew
vegas,vegas
efterlader,leaves
fortiden,currently
fingeraftryk,fingerprint
hårde,tough
spøg,joke
gæld,debt
svær,difficult
klient,client
skørt,skirt
fortjent,earned
afdeling,department
lngen,Nobody
knægten,the kid
kold,cold
mødet,the meeting
behov,need
gad,gad
kilo,kilo
chicago,chicago
mød,meet
kaldt,called
mcgee,McGee
ringen,the ring
tim,tim
lignende,similar
fis,fis
indrømme,admit
patient,patient
foreslår,suggests
bøsse,gay
bekendt,acquaintance
ansvarlig,responsible
fuldt,fully
væggen,the wall
panik,panic
system,system
papir,paper
snakket,talked
handle,Act
næ,occasional
morgenen,the morning
hils,greet
tydeligvis,obviously
besluttede,decided
prinsesse,princess
amerikansk,American
forleden,the other day
vendte,turned
