Mandarin,English
"谢谢
xièxie","Thank you
xièxie"
"像
xiàng","Like
xiàng"
"这么
zhème","so
zhème"
"可能
kěnéng","may
kěnéng"
"但是
dànshì","but
dànshì"
"那个
nàge","That one
nàge"
"所以
suǒyǐ","and so
suǒyǐ"
"喜欢
xǐhuan","like
xǐhuan"
"又
yòu","also
yòu"
"叫
jiào","call
jiào"
"快
kuài","fast
kuài"
"我要
wǒ yào","I need to
wǒ yào"
"觉得
juéde","feel
juéde"
"别
biè","do not
biè"
"听
tīng","listen
tīng"
"找
zhǎo","Find
zhǎo"
"里
lǐ","in
lǐ"
"还有
háiyǒu","and also
háiyǒu"
"时候
shíhou","time
shíhou"
"东西
dōngxi","thing
dōngxi"
"等
děng","Wait
děng"
"死
sǐ","dead
sǐ"
"多
duō","many
duō"
"从
zòng","From
zòng"
"我会
wǒ huì","I will
wǒ huì"
"一起
yīqǐ","together
yīqǐ"
"and
and","and
and"
"应该
yīnggāi","should
yīnggāi"
"我們
wǒmen","we
wǒmen"
"这些
zhèxiē","These ones
zhèxiē"
"that
that","that
that"
"t
t","t
t"
"请
qǐng","please
qǐng"
"孩子
háizi","child
háizi"
"看到
kàndào","see
kàndào"
"一下
yīxià","a bit
yīxià"
"那么
nàme","Then
nàme"
"为
wèi","for
wèi"
"嗎
ma","It
ma"
"而
ér","and
ér"
"of
of","of
of"
"您
nín","you
nín"
"才
cái","only
cái"
"用
yòng","use
yòng"
"还是
háishi","still is
háishi"
"嗯
èn","Ok
èn"
"问题
wèntí","problem
wèntí"
"工作
gōngzuò","jobs
gōngzuò"
"一样
yīyàng","same
yīyàng"
"呀
ya","Yeah
ya"
"开始
kāishǐ","Start
kāishǐ"
"吃
chī","eat
chī"
"嘿
hēi","Hey
hēi"
"当
dàng","when
dàng"
"真
zhēn","true
zhēn"
"中
zhòng","in
zhòng"
"然后
ránhòu","then
ránhòu"
"看看
kànkan","Look
kànkan"
"說
shuō","Say
shuō"
"地方
dìfang","local
dìfang"
"一定
yīdìng","for sure
yīdìng"
"将
jiàng","will
jiàng"
"希望
xīwàng","hope
xīwàng"
"朋友
péngyou","friend
péngyou"
"今天
jīntiān","Nowadays
jīntiān"
"拿
ná","take
ná"
"一
yī","One
yī"
"啦
la","La
la"
"in
in","in
in"
"事情
shìqing","thing
shìqing"
"一直
yīzhí","Up
yīzhí"
"所有
suǒyǒu","all
suǒyǒu"
"we
we","we
we"
"找到
zhǎodào","turn up
zhǎodào"
"什麼
shénme","what
shénme"
"哪
na","where
na"
"当然
dāngrán","of course
dāngrán"
"们
men","They
men"
"回来
huílai","come back
huílai"
"不想
bùxiǎng","Do not want
bùxiǎng"
"更
gèng","more
gèng"
"最
zuì","most
zuì"
"帮
bāng","help
bāng"
"is
is","is
is"
"没事
méishì","All right
méishì"
"只
zhǐ","only
zhǐ"
"那些
nàxiē","Those ones
nàxiē"
"可
kě","can
kě"
"明白
míngbai","understand
míngbai"
"的话
dehuà","if
dehuà"
"爸爸
bàba","father
bàba"
"what
what","what
what"
"下
xià","under
xià"
"太
tài","too
tài"
"离开
líkāi","go away
líkāi"
"一切
yīqiè","all
yīqiè"
"时间
shíjiān","time
shíjiān"
"相信
xiāngxìn","Believe
xiāngxìn"
"chffffff
chffffff","chffffff
chffffff"
"妈妈
māma","mom
māma"
"想要
xiǎngyào","Want
xiǎngyào"
"爱
ài","Love
ài"
"发生
fāshēng","occur
fāshēng"
"打
dǎ","hit
dǎ"
"点
diǎn","point
diǎn"
"來
lái","Come
lái"
"钱
qián","money
qián"
"大
dà","Big
dà"
"起来
qilai","stand up
qilai"
"me
me","me
me"
"真是
zhēnshi","Really
zhēnshi"
"你好
nǐhǎo","Hello there
nǐhǎo"
"抱歉
bàoqiàn","Sorry
bàoqiàn"
"必须
bìxū","have to
bìxū"
"认为
rènwéi","think
rènwéi"
"一点
yīdiǎn","a little
yīdiǎn"
"非常
fēicháng","very much
fēicháng"
"那里
nàli","There
nàli"
"对不起
duìbuqǐ","Sorry
duìbuqǐ"
"天
tiān","day
tiān"
"也许
yěxǔ","Maybe
yěxǔ"
"大家
dàjiā","everyone
dàjiā"
"哪里
nǎlǐ","where
nǎlǐ"
"有人
yǒurén","Someone
yǒurén"
"该
gāi","That
gāi"
"意思
yìsi","meaning
yìsi"
"杀
shā","kill
shā"
"准备
zhǔnbèi","ready
zhǔnbèi"
"并
bìng","and
bìng"
"出来
chulai","come out
chulai"
"this
this","this
this"
"与
yǔ","versus
yǔ"
"时
shí","Time
shí"
"不过
bùguò","but
bùguò"
"一些
yīxiē","some
yīxiē"
"为了
wèile","in order to
wèile"
"带
dài","band
dài"
"女人
nǚren","woman
nǚren"
"he
he","he
he"
"pos
pos","pos
pos"
"这儿
zhèr","here
zhèr"
"后
hòu","Rear
hòu"
"只有
zhǐyǒu","only
zhǐyǒu"
"过来
guòlai","come
guòlai"
"比
bì","ratio
bì"
"一次
yīcì","once
yīcì"
"得到
dédào","get
dédào"
"и
и","и
и"
"很多
hěnduō","a lot of
hěnduō"
"on
on","on
on"
"任何
rènhé","any
rènhé"
"这种
zhèzhǒng","This kind
zhèzhǒng"
"for
for","for
for"
"小
xiǎo","small
xiǎo"
"怎么样
zěnmeyàng","how about it
zěnmeyàng"
"對
duì","Correct
duì"
"感觉
gǎnjué","feel
gǎnjué"
"年
nián","year
nián"
"是不是
shìbùshì","is not it
shìbùshì"
"以为
yǐwéi","think
yǐwéi"
"fn
fn","fn
fn"
"而且
érqiě","and
érqiě"
"my
my","my
my"
"your
your","your
your"
"前
qián","before
qián"
"生活
shēnghuó","life
shēnghuó"
"男人
nánrén","the man
nánrén"
"之前
zhīqián","prior to
zhīqián"
"喂
wèi","Hey
wèi"
"问
wèn","ask
wèn"
"发现
fāxiàn","Find
fāxiàn"
"噢
ō","Oh
ō"
"可是
kěshì","but
kěshì"
"快点
kuàidiǎn","Faster
kuàidiǎn"
"嗨
hāi","Hi
hāi"
"妈
mā","mom
mā"
"两个
liǎng gè","Two
liǎng gè"
"不用
bùyòng","No need to
bùyòng"
"re
re","re
re"
"地
de","Ground
de"
"向
xiàng","to
xiàng"
"名字
míngzi","first name
míngzi"
"have
have","have
have"
"没错
méicuò","Yes
méicuò"
"was
was","was
was"
"no
no","no
no"
"见
jiàn","see
jiàn"
"do
do","do
do"
"世界
shìjiè","world
shìjiè"
"沒
méi","No
méi"
"记得
jìde","remember
jìde"
"住
zhù","live
zhù"
"新
xīn","new
xīn"
"be
be","be
be"
"不错
bùcuò","Pretty good
bùcuò"
"肯定
kěndìng","sure
kěndìng"
"最好
zuìhǎo","the best
zuìhǎo"
"not
not","not
not"
"不行
bùxíng","Not work
bùxíng"
"等等
děngděng","and many more
děngděng"
"嘛
ma","Well
ma"
"出去
chūqù","Out
chūqù"
"么
ma","What
ma"
"先
xiān","first
xiān"
"為
wèi","for
wèi"
"亲爱
qīnài","dear
qīnài"
"或
huò","or
huò"
"can
can","can
can"
"are
are","are
are"
"don
don","don
don"
"他們
tāmen","they
tāmen"
"担心
dānxīn","worry
dānxīn"
"如何
rúhé","how is it
rúhé"
"到底
dàodǐ","in the end
dàodǐ"
"有点
yǒudiǎn","A little
yǒudiǎn"
"最后
zuìhòu","At last
zuìhòu"
"小姐
xiǎojie","Young lady
xiǎojie"
"上帝
shàngdì","God
shàngdì"
"认识
rènshi","understanding
rènshi"
"know
know","know
know"
"會
huì","meeting
huì"
"正在
zhèngzài","Is
zhèngzài"
"那样
nàyàng","That kind
nàyàng"
"父亲
fùqīn","father
fùqīn"
"高兴
gāoxìng","happy
gāoxìng"
"明天
míngtiān","tomorrow
míngtiān"
"重要
zhòngyào","important
zhòngyào"
"跑
pǎo","run
pǎo"
"警察
jǐngchá","Policemen
jǐngchá"
"只要
zhǐyào","as long as
zhǐyào"
"干什么
gànshénme","What
gànshénme"
"好像
hǎoxiàng","like
hǎoxiàng"
"再见
zàijiàn","Goodbye
zàijiàn"
"月
yuè","month
yuè"
"我能
wǒ néng","I can
wǒ néng"
"继续
jìxù","carry on
jìxù"
"出
chū","Out
chū"
"今晚
jīnwǎn","tonight
jīnwǎn"
"all
all","all
all"
"他妈的
tāmāde","Fuck
tāmāde"
"with
with","with
with"
"回家
huíjiā","Come back home
huíjiā"
"它们
tāmen","they
tāmen"
"多少
duōshao","How many
duōshao"
"电话
diànhuà","phone
diànhuà"
"听到
tīngdào","Hear
tīngdào"
"干嘛
gànmá","Why
gànmá"
"just
just","just
just"
"干
gàn","dry
gàn"
"but
but","but
but"
"医生
yīshēng","Doctors
yīshēng"
"要是
yàoshi","if
yàoshi"
"女孩
nǚhái","girl
nǚhái"
"so
so","so
so"
"這
zhè","This
zhè"
"所
suǒ","The
suǒ"
"讓
ràng","Let
ràng"
"马上
mǎshàng","immediately
mǎshàng"
"过去
guòqu","past
guòqu"
"以前
yǐqián","before
yǐqián"
"they
they","they
they"
"儿子
érzi","son
érzi"
"哪儿
nǎr","where
nǎr"
"说话
shuōhuà","speak
shuōhuà"
"买
mǎi","buy
mǎi"
"看起来
kànqǐlai","Looks
kànqǐlai"
"fnmicrosoft
fnmicrosoft","fnmicrosoft
fnmicrosoft"
"一個
yī gè","One
yī gè"
"yahei
yahei","yahei
yahei"
"完全
wánquán","complete
wánquán"
"该死
gāisǐ","Damn
gāisǐ"
"there
there","there
there"
"美国
měiguó","United States
měiguó"
"怎样
zěnyàng","how
zěnyàng"
"回去
huíqu","go back
huíqu"
"以
yǐ","With
yǐ"
"却
què","but
què"
"其他
qítā","other
qítā"
"永远
yǒngyuǎn","forever and always
yǒngyuǎn"
"家伙
jiāhuo","Guy
jiāhuo"
"之后
zhīhòu","after that
zhīhòu"
"怎麼
zěnme","how
zěnme"
"看见
kànjiàn","see
kànjiàn"
"或者
huòzhě","or
huòzhě"
"b
b","b
b"
"小心
xiǎoxīn","Be careful
xiǎoxīn"
"fnsimhei
fnsimhei","fnsimhei
fnsimhei"
"行
xíng","Row
xíng"
"别人
biéren","other people
biéren"
"成为
chéngwéi","become
chéngwéi"
"写
xiě","write
xiě"
"不到
bùdào","Less than
bùdào"
"here
here","here
here"
"情况
qíngkuàng","Happening
qíngkuàng"
"get
get","get
get"
"送
sòng","give away
sòng"
"伙计
huǒji","Man
huǒji"
"一天
yītiān","one day
yītiān"
"玩
wán","play
wán"
"见到
jiàndào","To see
jiàndào"
"放
fàng","put
fàng"
"晚上
wǎnshang","at night
wǎnshang"
"喝
hē","drink
hē"
"总是
zǒngshì","always
zǒngshì"
"好好
hǎohǎo","Good
hǎohǎo"
"琌
líng","Ling
líng"
"号
hào","number
hào"
"如此
rúcǐ","in this way
rúcǐ"
"家
jiā","Home
jiā"
"坐
zuò","sit
zuò"
"了解
liǎojiě","To understanding
liǎojiě"
"like
like","like
like"
"有没有
yǒuméiyǒu","Do you have
yǒuméiyǒu"
"兄弟
xiōngdì","brothers
xiōngdì"
"没什么
méishénme","It's nothing
méishénme"
"我来
wǒ lái","I come
wǒ lái"
"结束
jiéshù","End
jiéshù"
"机会
jīhuì","opportunity
jīhuì"
"已
yǐ","Already
yǐ"
"安全
ānquán","Safety
ānquán"
"拜托
bàituō","Please
bàituō"
"决定
juédìng","Decide
juédìng"
"穿
chuān","wear
chuān"
"确定
quèdìng","determine
quèdìng"
"里面
lǐmiàn","inside
lǐmiàn"
"呃
è","Uh
è"
"怎么办
zěnmebàn","How to do
zěnmebàn"
"还好
háihǎo","Fortunately,
háihǎo"
"无法
wúfǎ","Unable
wúfǎ"
"小时
xiǎoshí","hour
xiǎoshí"
"站
zhàn","station
zhàn"
"清楚
qīngchu","clear
qīngchu"
"有些
yǒuxiē","some
yǒuxiē"
"错
cuò","wrong
cuò"
"這個
zhège","This one
zhège"
"帮助
bāngzhù","help
bāngzhù"
"长官
zhǎngguān","Chief
zhǎngguān"
"out
out","out
out"
"ll
ll","ll
ll"
"公司
gōngsī","the company
gōngsī"
"up
up","up
up"
"打电话
dǎdiànhuà","Phone
dǎdiànhuà"
"房子
fángzi","house
fángzi"
"根本
gēnběn","fundamental
gēnběn"
"懂
dǒng","understand
dǒng"
"办法
bànfǎ","Method
bànfǎ"
"go
go","go
go"
"不管
bùguǎn","Regardless of
bùguǎn"
"混蛋
húndàn","Asshole
húndàn"
"关于
guānyú","on
guānyú"
"right
right","right
right"
"she
she","she
she"
"搞
gǎo","Do
gǎo"
"计划
jìhuà","plan
jìhuà"
"唯一
wéiyī","only
wéiyī"
"来说
láishuō","Speaking
láishuō"
"女儿
nǚér","daughter
nǚér"
"one
one","one
one"
"看着
kàn zhe","Watching
kàn zhe"
"宝贝
bǎobèi","baby
bǎobèi"
"每个
měi gè","Each
měi gè"
"about
about","about
about"
"怎么回事
zěnmehuíshì","what happened
zěnmehuíshì"
"個
gè","More
gè"
"其实
qíshí","in fact
qíshí"
"漂亮
piàoliang","Pretty
piàoliang"
"黑体
hēitǐ","Blackbody
hēitǐ"
"這樣
zhèyàng","such
zhèyàng"
"车
jū","car
jū"
"if
if","if
if"
"人们
rénmen","people
rénmen"
"真正
zhēnzhèng","real
zhēnzhèng"
"甚至
shènzhì","even
shènzhì"
"那边
nàbian","there
nàbian"
"弄
nòng","do
nòng"
"开
kāi","open
kāi"
"不好
bùhǎo","not good
bùhǎo"
"him
him","him
him"
"喔
wo","Oh
wo"
"回
huí","Return
huí"
"进来
jìnlái","Come in
jìnlái"
"裏
lǐ","in
lǐ"
"夫人
fūren","lady
fūren"
"之
zhī","It
zhī"
"at
at","at
at"
"ぃ
ぃ","ぃ
ぃ"
"愿意
yuànyì","willing
yuànyì"
"麻烦
máfan","trouble
máfan"
"now
now","now
now"
"睡
shuì","sleep
shuì"
"哇
wā","Wow
wā"
"就要
jiùyào","Will
jiùyào"
"打算
dǎsuàn","intend
dǎsuàn"
"完
wán","Finish
wán"
"故事
gùshi","story
gùshi"
"一种
yīzhǒng","One kind
yīzhǒng"
"害怕
hàipà","Afraid
hàipà"
"救
jiù","save
jiù"
"手
shǒu","hand
shǒu"
"房间
fángjiān","room
fángjiān"
"由
yóu","by
yóu"
"後
hòu","Rear
hòu"
"那儿
nàr","there
nàr"
"衣服
yīfu","clothes
yīfu"
"枪
qiāng","gun
qiāng"
"母亲
mǔqīn","mother
mǔqīn"
"got
got","got
got"
"另
lìng","another
lìng"
"下来
xiàlai","Down
xiàlai"
"听说
tīngshuō","It is said that
tīngshuō"
"不了
bùliǎo","Can not
bùliǎo"
"注意
zhùyì","note
zhùyì"
"改变
gǎibiàn","change
gǎibiàn"
"how
how","how
how"
"这次
zhècì","this time
zhècì"
"這是
zhè shì","this is
zhè shì"
"没关系
méiguānxi","It's ok
méiguānxi"
"接受
jiēshòu","accept
jiēshòu"
"妻子
qīzi","wife
qīzi"
"老
lǎo","old
lǎo"
"失去
shīqù","lose
shīqù"
"回到
huídào","Back to
huídào"
"們
men","They
men"
"以后
yǐhòu","after
yǐhòu"
"话
huà","words
huà"
"是否
shìfǒu","whether
shìfǒu"
"her
her","her
her"
"疯
fēng","Crazy
fēng"
"生命
shēngmìng","life
shēngmìng"
"她们
tāmen","they
tāmen"
"忙
máng","busy
máng"
"进去
jìnqù","Go
jìnqù"
"抓
zhuā","Grab
zhuā"
"女士
nǚshì","Ms
nǚshì"
"yeah
yeah","yeah
yeah"
"原因
yuányīn","the reason
yuányīn"
"刚才
gāngcái","Just now
gāngcái"
"保护
bǎohù","protection
bǎohù"
"是因为
shì yīnwèi","Because of
shì yīnwèi"
"选择
xuǎnzé","select
xuǎnzé"
"妳
nǐ","You
nǐ"
"几个
jǐge","several
jǐge"
"笑
xiào","laugh
xiào"
"关系
guānxi","relationship
guānxi"
"从来
cónglái","Never
cónglái"
"will
will","will
will"
"他会
tā huì","He can
tā huì"
"当时
dāngshí","then
dāngshí"
"出现
chūxiàn","appear
chūxiàn"
"结婚
jiéhūn","marry
jiéhūn"
"些
xiē","some
xiē"
"至少
zhìshǎo","at least
zhìshǎo"
"还要
hái yào","Also
hái yào"
"oh
oh","oh
oh"
"挺
tǐng","very
tǐng"
"成功
chénggōng","success
chénggōng"
"come
come","come
come"
"奇怪
qíguài","strange
qíguài"
"虽然
suīrán","although
suīrán"
"忘
wàng","forget
wàng"
"太好了
tàihǎole","Great
tàihǎole"
"身上
shēnshang","Body
shēnshang"
"或许
huòxǔ","perhaps
huòxǔ"
"讲
jiǎng","speak
jiǎng"
"你們
nǐmen","you guys
nǐmen"
"岁
suì","year old
suì"
"有个
yǒu gè","is having a
yǒu gè"
"保证
bǎozhèng","Guarantee
bǎozhèng"
"外面
wàimian","outside
wàimian"
"ve
ve","ve
ve"
"丈夫
zhàngfu","husband
zhàngfu"
"连
lián","even
lián"
"want
want","want
want"
"国家
guójiā","country
guójiā"
"整个
zhěnggè","entire
zhěnggè"
"特别
tèbié","especially
tèbié"
"那种
nàzhǒng","Kind of
nàzhǒng"
"不同
bùtóng","different
bùtóng"
"著
zhù","The
zhù"
"很快
hěnkuài","quickly
hěnkuài"
"变成
biànchéng","become
biànchéng"
"够
gòu","enough
gòu"
"难道
nándào","Is
nándào"
"学校
xuéxiào","school
xuéxiào"
"一件
yī jiàn","One
yī jiàn"
"样子
yàngzi","Appearance
yàngzi"
"倒
dào","inverted
dào"
"电影
diànyǐng","the film
diànyǐng"
"谈谈
tántán","Talk about
tántán"
"think
think","think
think"
"危险
wēixiǎn","Danger
wēixiǎn"
"开心
kāixīn","Happy
kāixīn"
"别的
biéde","Else
biéde"
"这件
zhè jiàn","this
zhè jiàn"
"才能
cáinéng","Talent
cáinéng"
"闭嘴
bìzuǐ","To shut up
bìzuǐ"
"正
zhèng","positive
zhèng"
"进行
jìnxíng","get on
jìnxíng"
"照片
zhàopiàn","photo
zhàopiàn"
"話
huà","words
huà"
"刚刚
gānggang","just
gānggang"
"而已
éryǐ","Nothing more
éryǐ"
"完成
wánchéng","carry out
wánchéng"
"誰
shéi","Who
shéi"
"ﺎ
ﺎ","ا
ا"
"方式
fāngshì","the way
fāngshì"
"from
from","from
from"
"做到
zuòdào","Accomplish
zuòdào"
"爸
bà","dad
bà"
"who
who","who
who"
"因為
yīnwèi","because
yīnwèi"
"声音
shēngyīn","sound
shēngyīn"
"第一次
dìyīcì","the first time
dìyīcì"
"看来
kànlai","It seems
kànlai"
"只能
zhǐnéng","Only
zhǐnéng"
"現在
xiànzài","right now
xiànzài"
"太太
tàitai","Mrs
tàitai"
"下去
xiàqù","Go on
xiàqù"
"绝对
juéduì","absolute
juéduì"
"处理
chǔlǐ","deal with
chǔlǐ"
"欢迎
huānyíng","welcome
huānyíng"
"眼睛
yǎnjing","eye
yǎnjing"
"通过
tōngguò","by
tōngguò"
"行动
xíngdòng","action
xíngdòng"
"啥
shá","What
shá"
"感到
gǎndào","feel
gǎndào"
"最近
zuìjìn","recent
zuìjìn"
"聽
tīng","listen
tīng"
"as
as","as
as"
"d
d","d
d"
"各位
gèwèi","Everybody
gèwèi"
"这边
zhèbiān","This side
zhèbiān"
"待
dài","Wait
dài"
"掉
diào","Fall
diào"
"did
did","did
did"
"不好意思
bùhǎoyìsi","Feel embarrassed
bùhǎoyìsi"
"猜
cāi","guess
cāi"
"使
shǐ","Make
shǐ"
"作为
zuòwéi","As a
zuòwéi"
"于
yú","in
yú"
"see
see","see
see"
"good
good","good
good"
"狗
gǒu","dog
gǒu"
"容易
róngyì","easy
róngyì"
"沒有
méiyǒu","No
méiyǒu"
"直到
zhídào","until
zhídào"
"求
qiú","begging
qiú"
"比赛
bǐsài","game
bǐsài"
"像是
xiàng shì","Like
xiàng shì"
"his
his","his
his"
"麽
mó","What
mó"
"let
let","let
let"
"從
zòng","From
zòng"
"拉
lā","Pull
lā"
"拍
pāi","Beat
pāi"
"更好
gènghǎo","better
gènghǎo"
"曾
céng","Once
céng"
"why
why","why
why"
"有趣
yǒuqù","interesting
yǒuqù"
"就算
jiùsuàn","Even if
jiùsuàn"
"活着
huózhe","Alive
huózhe"
"不會
bùhuì","will not
bùhuì"
"ﻟ
ﻟ","ل
ل"
"努力
nǔlì","Strive
nǔlì"
"帮忙
bāngmáng","help
bāngmáng"
"留下
liúxià","Stay
liúxià"
"同意
tóngyì","agree
tóngyì"
"参加
cānjiā","participate
cānjiā"
"well
well","well
well"
"赢
yíng","win
yíng"
"死亡
sǐwáng","death
sǐwáng"
"每
měi","each
měi"
"上面
shàngmiàn","On
shàngmiàn"
"结果
jiéguǒ","result
jiéguǒ"
"消息
xiāoxi","news
xiāoxi"
"要求
yāoqiú","Claim
yāoqiú"
"理解
lǐjiě","understanding
lǐjiě"
"曾经
céngjīng","once
céngjīng"
"打开
dǎkāi","turn on
dǎkāi"
"收到
shōudào","Roger that
shōudào"
"照顾
zhàogu","Look after
zhàogu"
"人类
rénlèi","Humanity
rénlèi"
"主意
zhǔyi","idea
zhǔyi"
"保持
bǎochí","maintain
bǎochí"
"okay
okay","okay
okay"
"成
chéng","to make
chéng"
"杰克
jiékè","Jack
jiékè"
"存在
cúnzài","exist
cúnzài"
"进
jìn","Enter
jìn"
"高
gāo","high
gāo"
"晚安
wǎnān","good night
wǎnān"
"确实
quèshí","indeed
quèshí"
"全部
quánbù","Complete
quánbù"
"靠
kào","by
kào"
"呆
dāi","stay
dāi"
"起
qǐ","Start
qǐ"
"謝謝
xièxie","Thank you
xièxie"
"讨厌
tǎoyàn","hate
tǎoyàn"
"gonna
gonna","gonna
gonna"
"俩
liǎ","both
liǎ"
"an
an","an
an"
"硂
quán","Quan
quán"
"突然
tūrán","suddenly
tūrán"
"多久
duōjiǔ","how long
duōjiǔ"
"老婆
lǎopó","Wife
lǎopó"
"不再
bùzài","no longer
bùzài"
"when
when","when
when"
"back
back","back
back"
"任何人
rènhérén","anyone
rènhérén"
"开玩笑
kāiwánxiào","joke
kāiwánxiào"
"放在
fàngzài","On
fàngzài"
"τ
τ","τ
τ"
"那個
nàge","That one
nàge"
"进入
jìnrù","enter
jìnrù"
"父母
fùmǔ","parents
fùmǔ"
"总统
zǒngtǒng","president
zǒngtǒng"
"伤害
shānghài","hurt
shānghài"
"時候
shíhou","time
shíhou"
"回答
huídá","Reply
huídá"
"一位
yī wèi","One
yī wèi"
"三个
sān gè","Three
sān gè"
"所有人
suǒ yǒu rén","Holder
suǒ yǒu rén"
"老师
lǎoshī","teacher
lǎoshī"
"早
zǎo","early
zǎo"
"除了
chúle","apart from
chúle"
"black
black","black
black"
"派
pài","send
pài"
"咱们
zánmen","we
zánmen"
"自由
zìyóu","free
zìyóu"
"可爱
kěài","lovely
kěài"
"us
us","us
us"
"日
rì","day
rì"
"抓住
zhuāzhù","Catch
zhuāzhù"
"路
lù","road
lù"
"谈
tán","talk
tán"
"简单
jiǎndān","simple
jiǎndān"
"time
time","time
time"
"身体
shēntǐ","body
shēntǐ"
"想法
xiǎngfǎ","idea
xiǎngfǎ"
"早上
zǎoshang","morning
zǎoshang"
"這麼
zhème","so
zhème"
"ﺍ
ﺍ","ا
ا"
"能够
nénggòu","were able
nénggòu"
"昨晚
zuówǎn","last night
zuówǎn"
"哥哥
gēge","brother
gēge"
"我爱你
wǒàinǐ","I love you
wǒàinǐ"
"跳
tiào","jump
tiào"
"them
them","them
them"
"秘密
mìmì","secret
mìmì"
"休息
xiūxi","rest
xiūxi"
"战争
zhànzhēng","war
zhànzhēng"
"其中
qízhōng","among them
qízhōng"
"内
nèi","Inside
nèi"
"医院
yīyuàn","hospital
yīyuàn"
"每天
měitiān","every day
měitiān"
"之间
zhījiān","between
zhījiān"
"大概
dàgài","probably
dàgài"
"控制
kòngzhì","control
kòngzhì"
"刚
gāng","just
gāng"
"小孩
xiǎohái","Child
xiǎohái"
"带来
dàilái","bring
dàilái"
"停止
tíngzhǐ","stop
tíngzhǐ"
"因此
yīncǐ","therefore
yīncǐ"
"花
huā","flower
huā"
"证明
zhèngmíng","prove
zhèngmíng"
"约翰
yuēhàn","John
yuēhàn"
"飞机
fēijī","aircraft
fēijī"
"替
tì","for
tì"
"解释
jiěshì","Explanation
jiěshì"
"律师
lǜshī","lawyer
lǜshī"
"终于
zhōngyú","at last
zhōngyú"
"耶
yé","Yay
yé"
"翻译
fānyì","translation
fānyì"
"调查
diàochá","survey
diàochá"
"告訴
gàosu","tell
gàosu"
"为何
wèihé","Why
wèihé"
"留在
liú zài","Stay in
liú zài"
"糟糕
zāogāo","bad
zāogāo"
"任务
rènwu","task
rènwu"
"武器
wǔqì","arms
wǔqì"
"家里
jiālǐ","Home
jiālǐ"
"头
tóu","head
tóu"
"来自
láizì","Come from
láizì"
"后面
hòumiàn","Behind
hòumiàn"
"小子
xiǎozi","Brat
xiǎozi"
"going
going","going
going"
"来到
láidào","come
láidào"
"解决
jiějué","solve
jiějué"
"would
would","would
would"
"其他人
qí tā rén","other people
qí tā rén"
"家人
jiārén","family
jiārén"
"坐下
zuòxia","sit down
zuòxia"
"where
where","where
where"
"怕
pà","afraid
pà"
"直接
zhíjiē","direct
zhíjiē"
"办公室
bàngōngshì","office
bàngōngshì"
