French,English
photos,Pictures
médecin,doctor
seras,shalt
bateau,boat
stupide,stupid
faim,hunger
autour,around
fond,background
surprise,surprise
croyez,believe
devais,had
ligne,line
porter,carry
imagine,conceived
colère,anger
clair,clear
seront,will
savait,knew
balle,ball
gagné,won
or,gold
hors,except
magnifique,magnificent
risque,risk
terminé,finished
su,knew
heureuse,happy
mission,mission
jolie,pretty one
parlez,speak
présent,present
sorti,got out
cadeau,gift
expliquer,explain
volé,Fly
plusieurs,many
gauche,left
ferait,would do
neuf,new
passe-t-il,going there
ouvre,opens
disais,said
dedans,in
disent,say
pouvons,can
allez-y,Go for it
suivre,to follow
pourra,will
inspecteur,inspector
réponse,reply
lumière,light
pieds,feet
pote,mate
montre,watch
pied,foot
marcher,walk
charlie,charlie
auras,get
envoyer,to send
vraie,real
espèce,species
doivent,have to
allô,Hello
pareil,the same
vas-tu,are you
soleil,Sun
camp,camp
fallait,needed
coin,corner
ignore,unknown
moitié,half
you,you
selon,according to
tenir,hold
grosse,big
vouloir,want to
michael,michael
vieille,old
devenu,become
continuer,Continue
rend,makes
sortie,exit
recherche,research
arrière,back
lire,read
doucement,slowly
joli,pretty
avance,advanced
exact,exact
disait,said
club,club
arrivée,arrival
tue,kill
laquelle,which
poser,to pose
chaud,hot
aimé,love
david,david
fais-tu,do you
tom,tom
professeur,professor
quitter,to leave
loi,law
tueur,killer
donne-moi,give me
flics,cops
connaître,know
lettre,letter
forme,form
connaît,knows
conseil,advice
bar,bar
normal,normal
danger,danger
dangereux,dangerous
folle,crazy woman
jure,sworn
tiré,drawn
essaye,try
bonnes,good
offre,offer
but,goal
froid,cold
allez-vous,will you
prêts,loans
tranquille,quiet
gamin,kid
joe,joe
classe,classroom
joué,play
poste,post
con,cunt
mike,mike
attaque,attack
boîte,box
enquête,investigation
visite,visit
juge,judge
moi-même,myself
bord,edge
debout,standing
envoie,send
preuve,proof
oublier,forget
bons,good
vivant,living
ciel,sky
lu,read
touche,touch
aimer,like
faites-vous,are you
télé,TV
met,puts
écouter,listen
serez,will
ll,It
pourtant,However
change,exchange
triste,sad
droite,right
gueule,mouth
tombe,grave
sentir,feel
ouvrir,to open
travers,through
santé,health
dossier,folder
ie,ie
jeunes,youth
frank,frank
coucher,sleep
cuisine,cooked
monte,mounted
pouvez-vous,can you
signifie,means
entrez,Come in
relation,relationship
centre,center
dame,lady
chacun,each
chanson,song
foutre,fuck
voler,steal
blanc,White
george,george
certain,certain
don,Don
âme,soul
manière,way
flic,cop
décision,decision
mange,eat
vit,lives
compagnie,company
déjeuner,lunch
différent,different
tire,drawn
ordres,orders
clé,key
vaisseau,vessel
secondes,seconds
enfer,hell
sortez,get out
vendre,sale
faisais,doing
responsable,responsible
mecs,guys
nulle,nothing
signe,sign
lieutenant,lieutenant
aille,go
acheté,purchased
étrange,strange
diable,Devil
viennent,are coming
monter,ascend
là-dedans,in there
l,l
capable,able
emmener,bring
écrire,to write
honte,shame
bouche,mouth
préfère,prefer
coupable,guilty
rire,to laugh
payé,paid
soin,care
milieu,middle
appartement,apartment
prochain,next
cerveau,brain
paris,Paris
m,m
blague,joke
choisi,selected
époque,time
aurez,will
voie,way
réunion,meeting
connu,known
allée,driveway
intérêt,interest
cheval,horse
combat,fight
silence,silence
coups,shots
existe,exist
ia,ia
retourne,return
tel,Phone
trou,hole
public,public
peter,to fart
oeil,eye
pleine,full
cacher,hide
amoureux,lover
drogue,drug
commandant,commanding officer
garçons,boys
faisons,do
paul,paul
n,not
tient,is holding
est-elle,is she
prise,taking
gouvernement,government
dirai,tell
client,customer
adresse,address
journal,newspaper
contact,contact
dingue,crazy
sent,feels
récupérer,recover
base,based
preuves,evidence
présente,present
peau,skin
servir,to serve
peuple,people
exemple,example
fiche,plug
max,max
promets,promise
lequel,which
blessé,injured
c,vs
société,society
tort,wrong
sept,seven
pourriez,might
savent,know
ouvert,open
héros,hero
menti,lied
mer,sea
contente,content
quitté,quits
jeter,throw
sauvé,Safe
bière,beer
assis,seated
robe,dress
ecoutez,Listen
devient,bECOMES
félicitations,Congratulations
opération,surgery
prévu,planned
fut,was
tenez,hold
livres,books
répondre,reply
seuls,only
pute,bitch
entrée,Entrance
vol,flight
horrible,horrible
vin,wine
dommage,pity
dites-moi,tell me
auriez,would
colonel,colonel
ramener,bring back
règles,rules
nez,nose
justice,justice
fbi,FBI
découvert,discovered
départ,departure
bruit,noise
secours,help
vérifier,check
enceinte,pregnant
mise,setting
témoin,witness
dirais,say
directeur,director
intéressant,interesting
excuse,excuse
environ,about
t,t
inutile,useless
terrible,terrible
danse,dance
position,position
humain,human
apparemment,apparently
avenir,to come up
rêves,dreams
œil,eye
bête,stupid
sérieusement,seriously
bravo,well done
approche,approach
nourriture,food
fric,money
plupart,mostly
lycée,high school
tas,heap
empêcher,avoid
longue,long
sexe,sex
niveau,level
banque,bank
éviter,to avoid
étions,were
lune,Moon
pitié,pity
liberté,freedom
expérience,experience
procès,trial
radio,radio
hum,hum
verra,will
thé,tea
partez,leave
utilisé,in use
mur,Wall
pose,pose
revenu,returned
deuxième,second
bande,bandaged
asseyez-vous,sit down
certaines,some
ridicule,ridiculous
nord,North
appelez,call
copine,girlfriend
baiser,kiss
anglais,English
henry,henry
toilettes,bathroom
portes,doors
faudra,will
occupé,busy
grands,great
and,and
dérange,disturbs
rôle,role
censé,supposed
savez-vous,do you know
james,james
reine,Queen
croit,believes
cour,court
église,church
vide,empty
obtenir,get
conneries,bullshit
ennuis,trouble
personnel,staff
conduire,drive
tombé,grave
sol,ground
code,coded
huit,eight
avions,had
espoir,hope
comprenez,understand
spécial,special
vidéo,video
vêtements,clothing
défense,defense
alex,alex
sud,South
grand-mère,Grandmother
match,match
bombe,bomb
intéresse,interested
zone,zoned
tante,aunt
paraît,seems
excuser,excuse
magasin,store
marier,marry
chère,Dear
aie,Ouch
souvenir,memory
proche,close
revient,come back
danny,danny
douleur,pain
arrivera,to arrive at
presse,hurry
merveilleux,wonderful
asseoir,Sit
ravi,delighted
aimais,liked
h.,h.
amérique,America
fenêtre,window
mien,mine
terrain,ground
sergent,sergeant
peux-tu,can you
projet,project
quartier,district
planète,planet
certainement,certainly
rapide,fast
lorsque,when
assurer,ensure
rendu,made
mignon,cute
tourne,turned
danser,dance
bob,bob
clients,clients
petites,small
aimez,like
présenter,present
importance,importance
venus,Venus
jimmy,jimmy
sache,know
mérite,deserved
machine,machine
derniers,last
programme,program
mesdames,ladies
meilleurs,best
honnête,honest
essayez,try
irai,go
connard,shithead
occasion,opportunity
prouver,to prove
travaillé,work
glace,ice
ayez,have
parie,bet
camion,truck
fier,proud
discuter,discuss
village,town
spectacle,show
d,d
nul,no
rose,pink
touché,touch
mangé,eat
vis,screw
parole,speech
rencontre,meet
apprécie,appreciate
jane,jane
réalité,reality
savons,know
respect,respect
remettre,reset
vacances,holidays
détruire,destroy
choisir,to choose
ha,Ha
découvrir,discover
idées,ideas
officier,officer
frères,brothers
sert,serves
bill,bill
solution,solution
informations,news
attendais,expecting
monstre,monster
sexy,sexy
ordinateur,computer
retrouvé,found
nature,nature
rappeler,call back
énergie,energy
pierre,Pierre
utilise,uses
pression,pressure
chaussures,shoes
faite,done
histoires,stories
sarah,sarah
marié,married
espace,space
soient,are
nick,nick
portable,portable
préparer,to prepare
nécessaire,necessary
court,short
offrir,to offer
will,will
ai-je,have I got
tony,tony
envers,towards
bain,bath
charge,charge
mary,mary
harry,harry
jim,jim
ennemi,enemy
arrivent,arrive
immédiatement,at once
finalement,finally
énorme,huge
grand-père,grandfather
test,test
gagne,wins
réfléchir,reflect
victimes,victims
chanter,sing
futur,future
lâche,loose
mademoiselle,miss
copain,boyfriend
enlever,to take off
pensez-vous,do you think
retrouve,finds
épouser,marry
fleurs,flowers
salope,slut
aies,hast
gosse,kid
arranger,arrange
riche,rich
faits,facts
ancien,former
stop,stop
accepter,accept
restes,remains
nouveaux,new
sauter,jump
suspect,suspect
vies,lives
durant,during
invité,guest
politique,Politics
dents,teeth
patient,patient
repas,meal
urgence,emergency
cartes,cards
jambes,legs
conversation,conversation
telle,such
bus,bus
to,to
tourner,turn
toucher,to touch
mémoire,memory
série,series
mariée,married
contraire,opposite
vent,wind
taille,cut
donnez-moi,Give me
trouves,found
celui-là,that one
chat,cat
continuez,go on
contrat,contract
couteau,knife
double,double
dure,tough
carrière,career
excuse-moi,excuse me
ray,ray
regardé,looked
descendre,go down
université,university
sentiments,feelings
papier,paper
remarqué,Note
noms,names
vécu,lived
courage,courage
beauté,beauty
bu,drank
tais-toi,Shut up
après-midi,afternoon
excellent,excellent
assieds-toi,Sit down
richard,richard
propres,own
parmi,among
forte,strong
étant,being
couple,couple
aiment,like
permis,allowed
différence,difference
faudrait,should
course,race
humains,humans
dégage,releases
mille,thousand
accès,access
cible,target
joyeux,happy
bonheur,happiness
aimait,loved
manqué,lack
action,action
steve,steve
aidé,help
vouliez,wanted
trouvez,find
films,movies
emmène,takes
marie,married
taxi,Taxi
restaurant,restaurant
crise,crisis
piste,track
dernières,latest
puisque,since
blanche,white
coupe,chopped off
secrets,secrets
prince,prince
marrant,funny
raisons,reasons
refuse,refuse
apporté,brought
cassé,broken
lors,then
mettez,put
dis-lui,tell him
tuée,killed
maladie,disease
mienne,mine
rentré,returns
week-end,weekend
excuses,apology
km,km
alcool,alcohol
voudrait,would
fil,wire
rends,thank
quitte,quits
couché,layer
disons,say
totalement,totally
claire,Claire
it,it
londres,London
remercier,thank
mêmes,same
partis,gone
pensait,thought
île,Isle
tommy,tommy
remercie,thank
caméra,camera
pensent,think
suis-je,Am I
pleurer,cry
régler,adjust
ouvrez,open
entier,full
foutu,fucking
types,Types
fermer,to close
animaux,animals
dise,tell
image,picture
étage,floor
rejoindre,rejoin
soldats,soldiers
amuser,amuse
points,points
suivi,monitoring
oubliez,forget
langue,language
direction,direction
frais,fresh
veuillez,please
miss,Miss
soldat,soldier
couleur,color
bouger,move
frappé,hit
frapper,hit
venait,had
raté,missed
évidemment,obviously
sacré,sacred
clés,Keywords
mentir,lie
épouse,wife
troisième,third
johnny,johnny
amy,amy
jésus,Jesus
faible,low
ryan,ryan
afin,to
bleu,blue
failli,bankrupt
courir,run
américain,American
détails,details
pont,bridge
gay,gay
regarde-moi,look at me
jake,jake
billy,billy
attraper,to catch
papiers,papers
poisson,fish
lui-même,himself
wow,wow
chiens,dogs
date,dated
intention,intention
procureur,prosecutor
goût,taste
pourras,able
shérif,sheriff
sais-tu,you know
arrêt,stop
sourire,smile
lait,milk
chasse,hunt
signal,signal
parlait,speaking
destin,destiny
marre,fed up
français,French
princesse,princess
paie,pay
foi,faith
chier,take a dump
dois-je,should I
présence,presence
doigts,fingers
partenaire,partner
quelles,what
daniel,daniel
préféré,prefer
adieu,farewell
costume,suit
entreprise,company
utile,useful
calme-toi,calm down
lien,link
unique,unique
appartient,belongs
attendant,Meanwhile
amené,bring
moindre,lesser
quels,what
amener,lead
amène,bring
enfoiré,Motherfucker
recherches,research
discours,speech
données,data
robert,robert
art,art
appelles,call
salaud,bastard
penses-tu,do you think
magie,magic
bouteille,bottle
justement,exactly
raconter,tell
rapidement,quickly
bref,in short
tribunal,court
viendra,will come
passée,past
superbe,superb
pourrai,could
pièces,rooms
certaine,some
obligé,forced
formidable,wonderful
pause,pause
identité,identity
campagne,campaign
lee,lee
auraient,would
couper,cut
mark,mark
morceau,piece
os,bone
lettres,letters
nombre,number
intelligent,clever
gâteau,cake
dépend,depends
job,job
jeux,games
compter,count
cou,neck
of,of
reprendre,resume
joie,joy
agents,agents
gardes,guards
star,star
regard,look
demandez,ask
balles,bullets
vendu,sold
majesté,majesty
menace,threat
malgré,despite
appareil,apparatus
demandais,asked
là-haut,yonder
privé,private
adam,Adam
forces,strengths
fonctionne,works
méchant,mean
jambe,leg
empreintes,fingerprints
ange,angel
agir,to act
noire,black
imbécile,imbecile
gentille,gentle
labo,lab
résultats,results
toi-même,yourself
cinéma,cinema
nouvel,new
malheureusement,Sadly
décider,decide
né,born
importante,important
voulons,want to
détruit,destroy
parfaitement,perfectly
martin,martin
produit,product
réparer,to fix
chapeau,hat
gérer,manage
écoute-moi,listen to me
adn,dna
échange,exchange
mince,thin
bougez,move
parfaite,perfect
meurt,dies
fout,fout
vitesse,speed
fermé,closed
succès,success
au-dessus,above
etre,be
souvenirs,memories
comprend,comprises
odeur,odour
pain,bread
falloir,have to
aise,easy
caché,hidden
règle,rule
imaginer,imagine
raconte,recounts
vus,seen
accepté,accepted
trouvée,found
dors,sleep
celui-ci,this one
ministre,minister
infos,information
vendredi,Friday
voitures,Car
lever,raise
arbre,tree
maire,mayor
faveur,favor
pourraient,could
prendra,will take
surpris,surprised
jeté,thrown
également,also
fac,uni
apporter,to bring
washington,Washington
champ,field
peut-on,can we
comptes,accounts
échapper,escape
valeur,value
in,in
réel,real
couverture,blanket
million,million
article,article
doux,soft
parc,Park
toit,roof
unité,unit
resté,rest
plage,beach
partager,share
malin,malignant
recevoir,to receive
inquiétez,worry
attendu,expected
charles,charles
coffre,chest
uh,uh
eddie,eddie
chris,chris
celle-là,that one
ramène,brings back
mode,fashion
folie,madness
extérieur,outside
van,van
membre,member
prévenir,prevent
cache,hidden
inquiéter,worry
hasard,hazard
concerne,concerned
réponds,answer
génie,genius
j,j
parlais,speaking
parlons,let's talk
jardin,garden
saison,season
montré,shown
frappe,hit
enchanté,nice to meet you
gosses,kids
abandonner,to abandon
assure,assures
apporte,brings
prépare,prepare
mètres,meters
suivant,next
souhaite,wish
services,services
ouest,Where is
va-t',Will '
poids,weight
poche,poached
faisant,making
répondu,answered
directement,directly
source,source
france,France
créer,create
samedi,Saturday
aidez-moi,help me
univers,universe
saura,will know
réalisé,executed
américains,US
perds,lose
membres,members
viande,meat
o',o '
bobby,bobby
sont-ils,are they
crois-moi,believe me
amoureuse,in love
grandes,great
changement,change
compliqué,complicated
bal,ball
page,page
conduit,pipe
passage,passage
piège,trap
kevin,kevin
ressens,feel
accepte,accepted
grace,thanks
fais-le,do it
amusant,amusing
dan,dan
donnez,give
traces,footsteps
trésor,treasure
explique,Explain
fesses,buttocks
perte,loss
fantôme,ghost
naissance,birth
retraite,retirement
regardes,look
franchement,frankly
côtés,sides
larry,larry
étranger,foreign
poulet,chicken
vienne,Vienna
débarrasser,get rid of
enlève,removes
marque,Mark
mens,mens
fantastique,fantastic
cent,hundred
beaux,beautiful
entendez,hear
ouverte,opened
bâtiment,building
a-t-elle,has she
devrions,should
embrasser,to kiss
tombée,fall
manquer,to lack
entré,Between
san,san
chevaux,horses
habite,lives
animal,animal
fatigué,tired
heureusement,fortunately
billets,tickets
convaincre,to convince
appelait,called
rachel,rachel
paradis,paradise
émission,program
lance,spear
nettoyer,clean
file,file
dimanche,Sunday
agréable,pleasant
plans,Plans
conscience,consciousness
ennemis,enemies
disant,saying
connaissance,knowledge
douce,fresh
belles,beautiful
sentiment,feeling
bataille,battle
perd,loses
pourrez,can
relations,relationship
espérais,hoped
fais-moi,Make me
vôtre,your
servi,served
souci,worry
note,note
doigt,finger
mensonge,lie
volonté,will
walter,walter
victoire,victory
direct,direct
abandonné,abandoned
information,information
joindre,join
proches,relatives
brian,brian
droits,rights
eric,eric
nerveux,nervous
coupé,chopped off
patients,patients
invités,guests
arrivés,arrived
descends,down
pleure,cry
traitement,treatment
jerry,jerry
senti,felt
cancer,Cancer
répète,say again
reposer,rest
regrette,sorry
aide-moi,help me
flingue,gat
cousin,cousin
désormais,from now on
vérifié,checked
crains,fear
douche,shower
gaz,gas
interdit,not allowed
théorie,theory
scott,scott
trace,trace
contrôler,control
signer,sign
no,No.
demandes,requests
internet,Internet
andy,andy
cherchez,looking
salon,living room
pete,pete
serons,will
appels,call
lancer,launch
protection,protection
pantalon,trousers
rappelles,remember
dossiers,records
style,style
ravie,thrilled
semblant,show
yeah,yeah
kim,kim
offert,Free
vieil,old
humaine,human
grandi,grown up
médicaments,pharmaceuticals
acte,act
moyens,means
lois,laws
kate,kate
meurs,die
laisserai,leave
aéroport,airport
mauvaises,bad
détective,detective
autrement,other
témoins,witnesses
queue,tail
coincé,stuck up
mariés,married
sonne,sounds
innocent,innocent
dira,tell
créé,created
jason,jason
supporter,support
milliers,thousands
heu,er
infirmière,nurse
métier,job
crétin,dumbass
retirer,remove
surveillance,oversight
chances,odds
oreilles,ears
trouvera,will find
suicide,suicide
militaire,military
atteindre,reach
fuir,to run away
casse,broken
dormi,slept
pilote,pilot
rires,laughs
appelée,called
risques,risks
leçon,lesson
paquet,package
man,man
défendre,defend
immeuble,building
récemment,recently
chinois,Chinese
battu,beaten
aveugle,blinded
oiseau,bird
qu,that
propriétaire,owner
ancienne,Ancient
veste,jacket
anna,anna
simon,Simon
saviez,knew
amies,friends
cherché,sought
tirez,pull
al,al
différents,different
gardez,keep
feras,shalt
lisa,lisa
lis,Lily
station,station
mandat,mandate
assassin,assassin
thomas,thomas
célèbre,popular
dort,sleeps
bague,Ring
dépêche-toi,hurry up
tente,attempted
devenue,become
ventre,belly
carter,box
respire,breathe
haute,high
connaissais,knew
genoux,knees
terme,term
vert,green
emily,emily
refusé,refuse
hâte,haste
réveiller,wake
commande,ordered
commun,common
souris,mouse
partons,leave
perdue,lost
dirige,directed
verras,see
charmant,charming
chante,sung
sport,sport
celle-ci,this one
viré,fired
ies,ies
fiston,son
étoiles,stars
laisses,leashes
parlant,speaking
là-dessus,thereupon
signé,sign
virer,fire
permettre,allow
pouvoirs,powers
luke,luke
pluie,rain
passez,skip
vrais,real
enlevé,removed
moments,time
blesser,hurt
ombre,shadow
rome,Rome
épisode,episode
talent,talent
chocolat,chocolate
assurance,insurance
angleterre,England
couche,layer
site,site
neige,snow
gardé,keep
