Tagalog,English
pamilya,family
dugo,blood
nitong,it
so,so
telepono,phone
mali,false
boypren,boypren
siyempre,course
kenshin,kenshin
pinatay,killed
ganoon,like that
nais,want
station,station
kanina,little while ago
lungsod,city
tigil,trapping
thorin,thorin
mag-alala,worry
chatur,chatur
agad,immediately
excuse,excuse
harap,front
kamatayan,death
kayang,Affordable
pangako,commitment
dad,dad
mabilis,quickly
kumain,eat
hanapin,search
tawag,call
gobyerno,government
pakialam,officious
katsuji,katsuji
milyong,million
daejeon,daejeon
ligtas,safely
guwapo,handsome
laban,fight
saki,saki
ulit,repeat
card,card
mamamatay,killer
episode,episode
fresnoy,Fresnoy
malakas,strong
naiintindihan,grasped
enerhiya,energy
maayos,orderly
unang,first
sighs,sighs
toddy,toddy
darating,coming
tumawag,call
sinong,who
may-ari,owner
kailan,when
makukuha,available
panoorin,watch
m,m
kuha,Photographs
grabe,exaggeratedly
kama,bed
palagay,assumption
kuwarto,room
mama,mama
mismo,very
ayokong,I do not like
on,on
lagi,always
ibibigay,provided
hirap,difficulty
mahirap,difficult
puwet,top
babalik,return
sobrang,super
pera,money
aleman,German
kasal,married
huh,huh
bilyong,billion
tatlong,three
tahimik,quietly
kalimutan,forget
lakas,strength
uy,uy
tanong,question
nagbibigay,provides
engineer,engineer
salita,word
tignan,look
pagdating,coming
sakit,disease
dagat,sea
panganib,risk
magkaroon,have
subukan,try
hot,hot
bahala,care
ganun,like that
wangdu,wangdu
tabi,side
ibigay,give
nahanap,found
aba,whoa
krus,cross
chanchad,chanchad
nyang,she
papunta,to
puno,full
mangyayari,happens
please,please
galit,anger
litrato,picture
mahilig,fond
dog,dog
daw,it is said
maalala,remember
bakla,queer
iligtas,save
whoa,whoa
dragon,dragon
narito,here
mag,to
pamamagitan,by
nahuli,late
pum,pum
kagabi,last night
up,up
pagiging,becoming
control,control
tuwing,every
sina,sina
honey,honey
ayoko,I do not want
sulat,writing
naririnig,audible
kada,per
ilog,river
hubad,naked
tunay,really
handa,prepared
laman,content
susi,key
kesa,than
lawa,Lake
punta,boundary
good,good
kakaiba,strange
bayag,testis
dali,easiness
ilan,some
nagtatrabaho,working
katawan,body
bears,bears
turbo,turbo
nakaraan,previous
inumin,beverages
pabilis,apace
buti,being good
batang,young
hinahanap,looking
lampin,diaper
gamitin,use
sugita,sugita
tandaan,remember
katotohanan,reality
orc,orc
papatayin,kill
sigaw,cry
jin-hee,jin-hee
panginoon,lord
sweetie,sweetie
kailanman,ever
estudyante,student
out,out
soo-an,soo-an
muli,again
mahalaga,important
pasensya,patience
guwapong,handsome
um,um
eto,here it is
sundalo,soldier
mata,eye
pati,including
maari,you
zombie,zombies
gaya,like
are,are
malalaman,know
mangyari,happen
butler,butler
puro,concentrated
kinuha,took
nakakatakot,frightening
kaarawan,birthday
nun,nun
mabuhay,live
gaano,how
naaalala,remember
pangunahing,primary
patawarin,forgive
mona,mona
planeta,planet
ma,ma
titi,dick
uncensored,uncensored
langis,oil
baril,gun
baba,chin
kuya,brother
nagkaroon,had
dalhin,take
tiwala,trust
for,for
populasyon,population
phone,phone
masamang,bad
sarap,zest
pagod,weary
gayon,so
papuntang,to
naintindihan,understood
mahusay,good
kaguluhan,excitement
ibinigay,provided
gago,silly
engineering,engineering
kim,kim
mag-isa,alone
itsura,appearance
kabundukan,highlands
pwedeng,can
pusa,cat
bumili,buy
natutuwa,pleased
libro,book
pasko,Christmas
tuloy,continuous
ina,mother
una,first
tumayo,stand up
sasama,worse
magkita,meet
facebook,facebook
nyong,mong
palm,palm
kwento,story
dadaan,pass through
simula,beginning
andito,here
contestant,contestant
bundok,mountain
extra,extras
mahahanap,find
hi,hi
hesus,Jesus
himura,himura
ganitong,this
tumakbo,run
chief,chief
kalaban,adversary
tumabi,sidestep
uri,kind
yon,it
baliw,crazy
itlog,egg
maintindihan,understand
opisina,office
palakpakan,hail
pag-ibig,love
lumaki,grow
dating,former
aya,governess
apoy,fire
pen,pen
wherethebearsare.tv,wherethebearsare.tv
naalala,recalls
ring,ring
nasan,where
kapoor,kapoor
gutom,hungry
sexy,sexy
ate,sister
gidget,gidget
emergency,emergency
gawa,action
kaoru,kaoru
director,director
ulan,rain
labi,lip
inay,mother
eagle,eagle
ice,ice
huminahon,calm down
tiny,tiny
tapusin,finish
mataas,high
ipapakita,show
yaman,wealth
naghahanap,looking
ginagamit,used
sampung,ten
mawala,disappear
lalo,more
naninirahan,resident
panting,panting
syudad,city
isipin,think of
nakakatawa,funny
exam,exam
mabait,kindly
kahoy,wood
sumunod,comply
totoong,real
sapat,enough
seryoso,seriously
masasabi,tell
ding,also
dadalhin,take
pigilan,prevent
nagsimula,started
magaralgal,screaming
pranses,French
libo,thousand
viper,viper
datu,Muslim tribal chief
pag-asa,hope
mahanap,find
magnanakaw,thief
itigil,stop
time,time
makapaniwalang,can not believe
karagatan,ocean
bilbo,bilbo
tarantado,rowdy
pong,pong
sinira,torn
plano,plan
ibaba,lower
lumayo,depart
syempre,course
tong,tong
nalalaman,conscious
nagiging,becoming
e-mail,e-mail
carbon,carbon
nilalang,creatures
bola,ball
ideya,Overview
mister,mister
ginamit,used
paborito,favorite
ewan,do not know
pataas,up
sex,sex
joy,joy
halimbawa,example
itim,black
gotta,gotta
umupo,sit
halaman,plant
relasyon,relationship
hinihintay,waiting for
suot,guise
huminto,stop
aalis,elimination
balita,news
sira,upset
buddy,buddy
tatlo,three
klase,class
pagkakamali,mistake
natural,naturally
pool,pool
tamang,right
binaril,shot
sumasayaw,dancing
nilason,envenomed
kalikasan,nature
chuckles,chuckles
misyon,mission
yata,maybe
snowball,snowball
bosselet,bosselet
alisin,remove
naglagay,placed
mahabang,long
kin,kin
paalam,goodbye
aktor,actor
rastogi,rastogi
nag,Site
thanksgiving,thanksgiving
dubai,dubai
tinatawag,called
cam,cam
silencer,silencer
bumaba,decrease
nakilala,identified
is,is
hingal,gasping
vacuum,vacuum
siguradong,definitely
pagpunta,going
tagumpay,success
kuneho,rabbit
dala,carrying
apat,four
ikot,round
malayo,far
bartender,bartender
iori,iori
tanggapin,accept
sama,ill
limang,five
alalahanin,remember
where,where
kainin,eat
pabayaan,leave
banda,band
pasok,enter
bar,bar
kili,wetness
sandata,weapon
gagawa,builds
springs,springs
boyfriend,boyfriend
danny,danny
matapos,complete
kayamanan,wealth
ingat,caution
itay,daddy
rechampot,rechampot
pantalon,trousers
nanalo,victorious
espesyal,special
linya,line
libong,thousand
maniwala,believe
niyan,that
computer,computer
grado,grade
pansinin,notice
gunggong,loggerhead
tugtog,ringing
pagkamatay,death
trainer,trainer
madali,easy
karapatan,right
umaasa,hopeful
pinili,select
pendleton,pendleton
marahil,probably
school,school
new,new
isda,fish
pagdiriwang,celebration
scooter,scooter
halaga,value
kapangyarihan,power
raw,raw
paggawa,making
martini,Martini
gumising,wake up
sala,parlor
nababaliw,going crazy
hihinto,stops
klima,climate
umuwi,return
gabing,night
sigurong,sigurong
tinitingnan,viewing
puntahan,go
nakakaraan,ago
maligayang,welcome
hawak,possession
isipol,isipol
impormasyon,information
nanganganib,threatened
pinadala,expeditionary
chloe,chloe
relo,watch
lihim,secret
butas,hole
lumang,old
pinuno,leader
espadang,sword
makarating,reach
okubo,okubo
sinubukan,tested
nagawa,achievements
brad,brad
web,web
nagtatago,hoarder
bisita,visit
college,college
utot,flatulence
and,and
naglaro,played
laptop,laptop
importante,important
kakaibang,strange
utos,command
nakakatuwa,gladdening
tumakas,flee
katapusan,end
in,in
san,san
binigyan,given
nakakita,saw
magkano,much
birthday,birthday
pops,pops
sumakay,ride
kalahati,half
mawawala,disappear
tanungin,question
magalala,worry
balik,return
asan,where
naiisip,conceivably
maghanap,search
sitwasyon,situations
utak,brain
nawawala,missing
species,species
ibon,bird
boss,boss
pintuan,door
tatawagin,call
ahas,snake
non,non
isip,mind
langit,heaven
bard,Bard
lobo,balloon
sumali,join
sabihan,tell
hawakan,hold
phunsukh,phunsukh
alak,wine
bariles,barrel
gumulong,roll
papel,paper
six,six
gym,gym
magkakaroon,there
ayon,by
groans,groans
sinuman,anyone
aoshi,aoshi
number,number
pagpatay,killing
manager,manager
masira,wear
kulang,inadequate
uminom,drink
susubukan,try
upuan,seat
hubarin,undress
casting,casting
bitiwan,resign from
nyan,nyan
gawing,make
george,george
pilyong,pilyong
umiindak,swaying
param,param
bibigyan,given
your,your
gulo,mess
iwan,leave behind
nagustuhan,Liked
damit,clothing
manahimik,lull
pangit,ugly
simpleng,simple
araw-araw,everyday
paligid,surroundings
nagbalik,returns
yelo,ice
lumayas,get out
tigilan,stop
mang,any
burns,burns
guy,guy
mag-ingat,beware
kolehiyo,college
kulungan,jail
yay,yay
kumakain,eating
mainit,hot
don,don
malamang,likely
mananatili,retained
inimbita,invited
address,address
that,that
erebor,Erebor
chest,chest
potter,potter
france,france
mahaba,long
lalong,more
bye,bye
niloloko,fooling
pangangailangan,need
magagandang,beautiful
matulog,sleep
sagutin,answer
by,by
kaharian,kingdom
kanta,song
agrikultura,agriculture
ruta,route
gandalf,gandalf
masarap,delicious
ebidensiya,evidence
bantay,guard
tinanong,asked
kana,that
naniniwala,convinced
credit,credit
natagpuan,found
tauriel,Tauriel
e,e
nalang,just
screeching,screeching
anim,six
interview,interview
likas,inherent
kasing,as
halimaw,beast
arkenstone,arkenstone
doctor,doctor
happy,happy
bangkay,corpse
pakinggan,hear
kalahating,half
nangako,pledged
pakiramdam,feeling
layo,distance
kababayan,countryman
mero,mero
lkaw,You personally
komersiyal,commercial
asami,asami
attention,attention
sira-ulo,crazy
bobo,stupid
papaano,how
naglalaro,playing
kriminal,criminal
kaso,case
shogun,shogun
malinaw,clear
magsasama,include
manok,chicken
ho,sir
min,min
papasok,incoming
tunnel,tunnel
napakalaking,enormous
ahh,ahh
washroom,washroom
panalo,victory
durin,durin
ipagpaumanhin,excuse
mag-aral,study
kaaway,enemy
magtrabaho,work
bulag,blind
bilangguan,prison
mabuting,good
lason,poison
young-guk,Young-guk
sniffing,sniffing
paara,Paara
pelikula,movie
ituloy,pursue
nagpunta,went
de,de
iisa,alone
personal,personal
maliliit,small
what,what
kukunin,take
karera,races
kalawakan,galaxy
guro,teacher
kwarto,quarto
outtakes,outtakes
camera,camera
palaki,bigger
pagitan,interval
bayan,town
konti,few
ibabaw,surface
doktor,doctor
africa,africa
paa,foot
magtiwala,trust
iniwan,leave
siraulo,siraulo
iyang,his
hayun,there
germany,germany
akina,akina
sinungaling,liar
la,la
tanging,only
mundong,world
magpahinga,relax
kunan,shoot
right,right
lider,leader
tatawagan,call
magpatuloy,continue
susuko,surrender
resulta,result
gasp,gasp
meows,meows
plus,plus
master,master
gumamit,use
pogi,Handsome
papayag,please
pressure,pressure
gitna,heart
digmaan,war
tindahan,shop
nandun,luck
ayun,there
teacher,teacher
banal,holy
pupuntahan,destination
luke,luke
ngang,then
matinding,severe
nakalipas,past
kaagad,immediately
sariling,own
gumagastos,spending
mary,mary
matakot,fear
nabubuhay,prosperous
dogcatcher,dogcatcher
hubert,hubert
dinala,brought
disyerto,desert
luma,old
lumalaki,grow
cleaner,cleaner
pwersa,forces
regalo,gift
nagpatuloy,continued
kasaysayan,history
nakakuha,earned
disney,disney
tatawag,call
ashley,ashley
nakakaalam,privy
tsaka,stick
tumatakbo,running
magpakailanman,forever
ball,ball
sugat,wound
pakakasalan,marry
high,high
maikling,short
magbigay,give
edukasyon,education
mahalin,love
pababa,down
makapasok,infiltrate
magmadali,hurry
makipag-sex,having sex
sweet,sweet
kaiba,weird
bato,stone
kombinasyon,combination
madilim,dark
tagamasid,observer
kalangitan,ethereal
iniligtas,saved
shamaldas,shamaldas
sobra,surplus
santiago,santiago
date,dating
habulin,chase
puti,white
tawagin,call
pinakamataas,topless
tumpok,pile
karne,meat
tangina,tangina
caprice,caprice
hilig,inclined
ugali,habit
malalaking,large
pugad,nest
misao,misao
masyado,too
nagbigay,provided
gamot,medicine
taxi,taxi
pweding,pweding
ticket,tickets
lupain,land
maskuladong,muscular
special,special
lumalabas,out
nakasakay,on board
it,it
dami,volume
pagmamahal,affection
gisingin,wake up
reaper,reaper
sukat,measure
sundin,follow
thudding,thudding
isarado,close
hudyat,password
mahina,weak
scientist,scientist
leather,leather
magtanong,ask
shakku,shakku
matalik,close
nakaraang,previous
tanda,mark
palaso,arrow
naghihintay,waiting
linisin,clean
kasong,case
nagkamali,mistaken
ilong,nose
nararamdaman,sentient
dalian,be quick
tweeeet,tweeeet
little,little
kontrata,contract
tahanan,home
amoy,odor
stock,stock
normal,normally
katutubo,grassroots
titingnan,look
binigay,provided
kumagat,bite
muntik,almost
gulong,tire
impiyerno,hell
ayan,ayan
biro,joke
magkasama,together
daddy,daddy
sumipa,kick
bibig,mouth
sanang,would
kinakailangan,needed
kumpanya,company
maliban,except
nah,nah
baboy,pork
mamayang,later
tunog,sound
babaeng,female
parte,part
inverter,inverter
maghahanap,Scouts
gas,gas
payo,counsel
tungkulin,office
audition,audition
kilos,motion
saklolo,succor
take,take
umamin,admit
christmas,christmas
tiberius,Tiberius
hiyas,jewel
ex,ex
sewers,sewers
photographer,photographer
bat,bat
kainis,annoying
ow,ow
magdala,carry
yong,yong
ipaliwanag,explain
bandang,around
sahig,floor
upo,sit
ninyong,you
dakilang,great
team,team
kaligtasan,safety
beer,beer
marcus,marcus
kabilang,including
god,god
pruweba,proof
store,store
imposible,impossible
lola,grandmother
magsimula,begin
kampanya,campaign
charity,charity
ems,ems
soak,soak
cheese,cheese
satin,satin
suhas,suhas
ibalik,return
punong,head
daang,hundred
papasukin,enter
komportable,cozy
coulais,coulais
dickie,dickie
south,south
bibitawan,release
maling,false
fund,fund
numero,number
sirain,destroy
nakatingin,looking
ays,ays
fort,fort
nagsisinungaling,untruthful
bumagsak,crash
sumisitsit,hissing
puta,hooker
taga,hacking
makipag-usap,communicate
room,room
bruce,bruce
hitsura,appearance
nakatago,hidden
lasing,drunk
nag-aaral,studying
cute,cute
sapatos,shoe
bagsak,defeated
gate,gate
nangyayaring,happening
berdeng,green
sarsa,sauce
teritoryo,territory
sasakyan,vehicle
smaug,smaug
pinapanood,watched
over,over
sinusubukan,trying
milya,mile
oil,oil
mag-isip,to think
kami-kami,ourselves
lebel,levels
nato,nato
tulog,asleep
kukuha,take
magalit,ornery
weekend,weekend
nandiyan,there
harapan,facade
fraternity,fraternity
dorkoff,dorkoff
makatulong,avail
mamamayan,citizen
pagdalo,attendance
kahulugan,meaning
kabayaran,compensation
kumilos,act
marunong,wise
detectives,detectives
bulaklak,flower
europa,Europe
siyudad,city
chang,chang
makakagawa,able
aww,aww
sunod,order
mabubuhay,viable
kalang,wedge
market,market
ka-date,a date
b,b
utang,loan
talaan,record
kaha-de-yero,pack-de-galvanized
edi,edi
kasali,participant
stuttering,stuttering
baso,glass
walanghiya,walanghiya
gustong-gusto,wish
biyahe,trip
guldur,Guldur
isara,close
night,night
nagbabago,mutable
nagkita,meet
fellas,fellas
bigla,suddenly
ginto,gold
panahong,time
artista,actor
nakasuot,armor
feature,feature
pangalawa,second
manood,watch
cell,cell
anumang,any
dumaan,pass through
mayroong,there
biyernes,Friday
book,book
naglason,poisoned
nazaret,Nazareth
cheonan,cheonan
tinanggal,deleted
milyon,million
tumira,settle
elf,elf
nagbago,reformed
i.c.e,i.c.e
maniniwala,believe
layas,elopement
taba,fat
basura,waste
squealing,squealing
gastos,expenses
nakatayo,standing
jab,jab
pagpalakpak,cheering
analyst,analyst
matangkad,tall
sinulat,wrote
inaresto,arrested
center,center
ganda,beauty
kutsara,spoon
deputik,deputik
sangkatauhan,mankind
makihalubilo,mix
kinakain,eat
nakaligtas,survivors
blender,blender
rapanui,rapanui
magustuhan,like
dol,dol
kakain,eat
sulok,corner
india,india
anuman,whatever
reiko,reiko
kausap,talking
paper,paper
hatulan,judge
police,police
ayusin,fix
nag-aalala,worried
report,report
dr.,dr.
meowing,meowing
hay,hay
apple,apple
nagkakamali,mistaken
hayaang,allow
minutos,minutos
amore,amore
kadiliman,darkness
curtis,curtis
bag,handbag
pangyayari,event
nagbabayad,payer
nakikinig,listening
bahagi,part
gawain,task
tanggalin,remove
makausap,speak
maiintindihan,understand
uniporme,livery
kalagayan,condition
away,fight
nagdala,brought
mataba,greasy
masakit,painful
year,year
lalake,man
village,village
mauna,go ahead
tawad,bid
ipinanganak,born
tinapos,terminated
paghihiganti,retaliation
anino,shadow
umiinom,drinking
inaasahan,hope
kamo,you
maawa,have mercy
disenyo,design
talim,blade
pangarap,dream
nahulog,fell
laging,always
ooh,ooh
mayaman,rich
alagad,disciple
about,about
desisyon,decision
d,d
lumapit,approach
nandyan,it's there
nakatanggap,received
balang,locust
sundan,follow
batas,law
tinutukoy,determined
lng,lng
susie,susie
mag-partner,to partner
tokyo,tokyo
grupo,group
balanse,balance
halip,rather
magtatagal,lasting
tutulungan,help
dakila,great
matatapos,ends
nasabi,underwritten
nakakulong,pent
nakikipag-sex,sex
presyo,price
tapat,faithful
office,office
andyan,there
father,father
can,can
dioxide,dioxide
pabor,favor
nakikiusap,pleads
tirahan,dwelling
nasaktan,offended
hulaan,predict
club,club
ganiyan,such
kutsilyo,knife
flushed,flushed
dahan-dahan,slowly
nakitang,found
pakawalan,release
ingay,noise
lumubog,swamp
exclaiming,exclaiming
usok,smoke
ginugulo,ginugulo
makitang,see
brooklyn,brooklyn
nakikilala,discernible
sira-ulong,wrong-headed
segundo,second
nagsabi,said
maliwanag,bright
hanay,line
nabasa,read
ituro,point
atmosphere,atmosphere
business,business
french,french
pumapasok,inlet
maghihintay,wait
pantay,equal
makakasama,will
condom,condom
libre,Free
hayan,there
namamatay,moribund
security,security
pag-unlad,progress
sniffs,sniffs
negosyo,business
shrimp,shrimp
akbar,akbar
ibenta,sell
last,last
lumalaking,growing
lolo,grandfather
dulo,end
iiwan,leave
palang,falange
gang,gang
pinabayaan,derelict
kalmado,calm
resibo,receipt
sistema,system
sagot,answer
message,message
ninakaw,stolen
paglipas,passing
oakenshield,Oakenshield
squeaks,squeaks
video,video
whining,whining
naglaho,disappeared
nauna,former
butil,grain
klaseng,kind
natutunan,learned
darling,darling
napakagandang,very good
naamoy,smell
tanggal,disconnected
photogenic,photogenic
matalino,clever
ari,property
magawa,cope with
giyera,war
question,question
all,all
fine,fine
letrato,picture
bituin,star
nawalan,bereaved
nina,by
nakukuha,transmitted
mahigit,more
oso,bear
humihikbi,sobbing
mg,mg
nagmamahal,loves
tinawagan,called
project,project
army,army
ricky,ricky
pizza,pizza
talino,brains
mind,mind
growlr,growlr
buweno,well
paggamit,use
voicemail,voicemail
metal,metal
pagwasak,wrecking
paruparo,butterfly
nagsasalita,speaker
kapani-paniwala,credible
ginang,madam
mangyaring,please
krafft,krafft
makipagkita,contact
pwera,pwera
pakain,feed
jackie,jackie
matandang,old
posisyon,position
pinagmulan,source
humingi,ask for
sarado,closed
karamihan,mostly
surpresa,surprises
siguraduhin,make sure
set,set
sweetpea,sweetpea
sling,sling
natutulog,sleeping
nagtuturo,directive
bale,promissory note
ardilya,squirrel
kumakanta,sings
sarhento,sergeant
milyun,millions
sampu,ten
gumagalaw,moving
mahuli,lag
celine,celine
hila,hauling
tattoo,tattoo
lumilipad,flying
pulgada,inch
uling,charcoal
squeaking,squeaking
saktan,hurt
barilin,shoot
banyo,bathroom
parusa,penalty
volunteer,volunteer
palayain,release
mapanganib,dangerous
nasiyahan,satisfied
lna,lna
karapat-dapat,worthy
mesiyas,Messiah
umaalis,retiring
online,online
hudyo,Jew
tumaas,rise
timeshare,timeshare
tutulong,help
cool,cool
bumaril,shoot
cellphone,cellphone
halikayo,come here
obvious,obvious
panig,side
timog,south
day,day
sunugin,fire
galileo,Galileo
tuluyan,accommodation
itanong,ask
nabanggit,mentioned
pagkawala,loss
hininga,breath
hintayin,wait
detalye,specification
lamesa,table
warming,warming
propesiya,prophecy
sanosuke,sanosuke
call,call
cap,cap
makapunta,get over
greenland,greenland
kalma,tranquil
gumagana,functional
hakbang,step
tutal,tutal
alagaan,take care of
pessimist,pessimist
big,big
top,top
pangkaraniwan,common
palaging,always
tatanungin,asked
putulin,cut off
super,super
kaylan,when
harapin,confront
makasama,harm
leeg,neck
kababalaghan,phenomenon
jcub,jcub
makipaglaro,play
bitawan,resign from
nakaupo,seated
morning,morning
lumaban,fight
end,end
down,down
rugby,rugby
nag-away,fought
eksenang,scene
colt,colt
bangka,boat
boys,boys
tweeet,Tweeet
magpakamatay,suicide
tv,tv
mariya,mariya
binabalak,intend
halikan,kiss
have,have
gising,awake
nagpadala,sender
ilagay,place
chapstick,chapstick
magkaibigan,confirm
itago,hide
natapos,completed
nagagawa,done
kelan,when
ngipin,tooth
babayaran,pay
kaliwang,the left
dote,dowry
hangal,silly
kwentang,kwentang
paranoid,paranoid
magsabi,tell
malayang,independent
manalo,win
nagkataon,arbitrarily
mamahalin,expensive
york,york
maria,maria
wildlife,wildlife
millimeter,millimeter
palitan,change
itaas,upper
abang,rent
handog,sacrifice
tali,leash
clips,clips
matigas,tough
mabaliw,insane
pedro,pedro
sausage,sausage
sinumang,any
presinto,precinct
direktor,director
swerte,luck
kanino,whom
palakasin,reinforce
pag-aaral,learning
marinig,hear
katulong,assistant
arai,arai
bintana,window
modelo,model
mamamatay-tao,murderer
pinakamahirap,most
matatagalan,intolerable
suso,breast
samurai,samurai
iwanan,leave
isla,island
chad,chad
puting,white
dingding,wall
cup,cup
alipin,slave
pasyente,patient
kasalukuyang,current
pinakamahusay,best
sabay,time
pinakamalaking,largest
shet,shet
kapalaran,fate
karakter,chars
espiya,spies
lalaban,fight
balin,water hose
mediterranean,mediterranean
ini-sponsor,sponsored
cruisebears,cruisebears
ilaw,light
bantayan,guard
ungol,growling
binili,purchase
tatakbo,run
killer,killer
kahalagahan,importance
punyeta,dam
hospital,hospital
eroplano,plane
cabin,cabin
two,two
gilid,edge
