Russian,English
впервые,for the first time
находится,is
объяснить,explained
полицию,police
решили,We decided to
семью,family
свидание,date
отличная,excellent
остальные,rest
прийти,to come
руках,hands
фбр,FBI
чувство,feeling
котором,which
решила,I decided to
понадобится,need
сынок,son
найду,I find
фрэнк,Frank
школы,school
чувства,feelings
дядя,uncle
стали,become
ушла,gone
первым,first
поверь,trust
расскажи,tell
хочется,I want to
девушки,girls
сон,sleep
имел,I was
каким,how
парнем,Man
многие,many
части,parts
ехать,go
считаю,I think
никуда,nowhere
голове,head
старый,old
оттуда,thence
чем-то,something
называется,It called
вопросов,issues
фото,Photo
пройти,pass the
заниматься,do
другу,friend
вернулась,returned
пара,couple
никак,in no way
девочки,girls
благодарю,thank
своем,its
недавно,recently
приехал,I arrived
глаз,eye
могло,could
становится,It is becoming
пыталась,I tried
является,is an
брось,drop it
богу,God
ы,s
нашим,our
помощи,help
волосы,hair
невероятно,unbelievable
одном,one
ушел,gone
джейн,Jane
to,to
тела,the body
недель,weeks
собирается,going
защитить,protect
всеми,all
существует,exists
жив,alive
первая,first
позвоню,call
благодаря,thanks
вперёд,forward
навсегда,forever and ever
помните,remember
земле,land
делу,cause
вполне,well
пытается,trying to
будущее,future
семь,seven
своему,his
ок,OK
идиот,moron
слава,glory
стоило,worth
удалось,succeeded
делаем,do
команда,team
главное,the main thing
огонь,Fire
дэнни,Danny
замуж,marry
начали,We started
мужчины,men
кого-нибудь,someone
силы,of force
семье,family
шеф,chief
суд,court
слышу,hear
тюрьме,prison
попробовать,try
друзьями,friends
алекс,Alex
вашем,your
новая,new
маленькая,small
черта,feature
придет,will come
страшно,scary
услышать,hear
новые,new
общем,generally
звонил,call
купил,I bought
понравится,like
близко,close
самой,most
смысл,meaning
хорошее,a good
любил,I loved
сара,Sarah
единственная,only
делали,done
макс,Max
мэри,Mary
жду,forward
получается,obtained
хорошего,good
эми,Amy
дамы,ladies
жену,wife
гарри,Harry
неправильно,wrong
стоять,to stand
плевать,spit
ключ,key
верить,believe
лично,personally
слышать,hear
взяли,have taken
поздравляю,Congratulations
пить,drink
заставить,make
получили,got
рот,mouth
делала,done
преступления,crimes
двери,doors
землю,ground
разумеется,of course
очередь,queue
первой,first
разговор,conversation
видимо,apparently
звонок,call
джеймс,James
s,s
менее,less
нового,new
получила,received
хм,huh
подальше,out
какая-то,some
сможете,can
похож,like
состоянии,a position to
необходимо,must
адвокат,lawyer
касается,As for
секунд,seconds
стоп,Stop
дали,gave
оставаться,stay
сделает,make
ходить,walk
помощью,assistance
хватает,missing
изменить,amend
король,king
народ,people
новую,new
девушку,Woman
живет,lives
секс,sex
сделаешь,do
думали,thought
нашем,our
попасть,get
каждого,each
другую,another
просил,I asked
пошёл,I went to
войны,war
случайно,by chance
игру,game
мертв,dead
держись,hold on
забыла,I forgot
цель,target
минуты,minutes
месье,monsieur
выше,above
однако,However
женщину,a woman
раза,fold
мысли,thoughts
выход,output
платье,dress
вовсе,all
пришло,it
женой,wife
ребёнка,baby
сожалею,sorry
твоем,your
осторожно,Caution
смогла,could
этими,these
стану,will
маме,mother
парней,guys
нравятся,like
покое,alone
поехать,go
садись,sit down
миллионов,millions
отличный,a great
ребёнок,child
дочери,daughters
дороги,roads
ого,th
ха,Ha
нечто,something
первое,first
выяснить,to figure out
ник,Nick
информацию,information
офис,office
какое-то,some
записи,recording
лучшее,the best
течение,flow
вечеринку,party
убью,kill
годы,years
забыть,to forget
правила,regulations
сожалению,Sorry
какие-то,some
слов,words
джимми,Jimmy
дни,days
дала,He gave
жизнью,life
совет,council
занят,busy
кем-то,someone
попробуй,try
подруга,friend
расскажу,I tell
целый,all
красивая,beautiful
попросил,I asked
вышел,released
удар,hit
вещей,of things
адрес,the address
дэвид,David
оставьте,leave
сержант,sergeant
увидишь,see
виноват,is to blame
разница,difference
открыть,open
написал,I wrote
ждет,waiting for
новое,new
счастлив,happy
вау,wow
выбора,choice
продолжай,go on
задницу,ass
покажу,show
единственное,the only thing
доверять,trust
встреча,a meeting
убивать,kill
концов,ends
обоих,both
будьте,be
останется,will remain
тюрьму,prison
наверно,probably
ищу,seeking
момента,moment
обед,dinner
лица,person
видео,video
стойте,stand firm
взяла,took
подождать,wait
считает,considers
вечно,eternally
покажи,show
бен,Ben
книгу,book
многое,much
земли,earth
дел,of cases
какую,which
поскольку,because the
узнала,learned
сильнее,stronger
жены,wives
встречу,appointment
весьма,very
блядь,Fuck
поняли,understood
родителей,parents
оу,OU
лейтенант,lieutenant
глупо,foolishly
узнает,learns
думают,think
сезон,season
снаружи,outside
голова,head
мамой,mother
заняться,to do
кино,movie
вечера,evening
свете,light of
выйдет,will
восемь,eight
найдем,find
помогу,help
больницу,hospital
больнице,hospitals
магазин,score
тони,Tony
заметил,noticed
договорились,deal
слушать,listen
бизнес,business
примерно,about
уехать,leave
мамы,mother
позвонил,call
выходит,comes
когда-либо,ever
маму,mother
документы,documents
попал,hit
шаг,step
отпусти,let
смотрю,look
здравствуй,Hi
понравилось,liked
смогли,could
правы,right
большие,big
рассказала,He told
идут,go
готово,ready
плохой,bad
офицер,an officer
узнали,learned
скажет,tell
сюрприз,surprise
внимания,attention
вышло,came out
дорогу,way
считаешь,think
фотографии,photos
вода,water
делом,deed
каком,what
полный,full
следующей,next
доказать,prove
захочешь,want
книги,books
война,war
планы,plans
мысль,think
веришь,trust
видно,it is seen
скажем,let us say
большинство,most
ребят,children
продолжать,continue
ранее,earlier
жертвы,victims
ближе,closer
качестве,quality
двигаться,move
написано,written
чувствовать,feel
хорош,good
любить,be in love
величество,Majesty
головы,head
дороге,the road
попросить,ask
времена,time
подумай,think
забавно,amusingly
главный,main
внизу,down below
каждую,every
остался,remained
вставай,wakey
мнение,opinion
твоему,thy
часы,clock
вряд,unlikely
постой,billeting
сомневаюсь,doubt
отдай,give
вечеринка,a party
ошибка,error
приехали,arrived
бросил,threw
вернется,return
профессор,Professor
любят,love
ключи,the keys
подходит,suitable
беги,run
ничто,nothing
поле,field
вышла,out
открой,open
воду,water
сексом,Intercourse
музыка,music
побери,hell
бабушка,grandmother
собираемся,re going
несмотря,despite
госпожа,Mrs.
стране,country
b,b
рэй,Ray
отдать,pay
трубку,tube
сил,forces
кончено,over
другая,other
комната,room
ричард,Richard
o,o
сердца,hearts
кому-то,someone
опасности,danger
сша,USA
закончить,complete
детьми,children
врач,doctor
живу,live
имеете,You have
команды,commands
пожалуй,perhaps
роль,role
порядок,order
группа,Group
встретимся,meet
кольцо,ring
самые,most
позвони,Call
всём,all
вверх,up
разговаривать,speak
джим,Jim
закон,law
мужчин,men
шутишь,joking
играет,plays
хорошим,good
новой,new
начнем,start
ухожу,leaving
член,member
такси,Taxi
серия,series
днк,DNA
получше,better
убила,killed
настоящая,real
молодой,young
эмили,Emily
показания,testimony
одному,one
шутка,joke
уходить,leave
снять,shoot
недостаточно,insufficiently
каких,what
кейт,Kate
одни,some
разобраться,understand
язык,tongue
едем,going
директор,director
сто,one hundred
энди,Andy
учитывая,Considering
спросил,I asked
днем,in the afternoon
первого,the first
джей,DJ
чего-то,something
когда-то,sometime
наверху,upstairs
говорим,We are talking
счастлива,happy
помог,helped
отцу,father
приходится,accounts
определенно,definitely
сигнал,signal
закончится,ends
помогает,It helps
группы,groups
моём,my
едва,barely
легче,easier
t,t
ответить,reply
спустя,after
принести,bring
секрет,secret
приказ,order
де,de
опасно,dangerous
позволю,allow
билли,Billy
бросить,throw
телефону,telephone
самых,most
эдди,Eddie
получишь,get
господь,Lord
внутрь,inside
компания,company
прекрасный,beautiful
томми,Tommy
такими,these
and,and
пойдет,will go
женщиной,woman
работаешь,working
большую,great
волнует,worries
рук,hands
память,memory
старик,old man
избавиться,escape
квартиру,apartment
закончили,finished
информация,information
встречаться,meet
удовольствием,pleasure
спас,saved
мозг,brain
читать,to read
ким,kim
чертовски,devilishly
стол,table
джонни,Johnny
ублюдок,bastard
дон,Don
тысячи,thousands
боб,bean
ложь,Lying
it,it
ёто,oto
потеряла,lost
взглянуть,glance
писать,write
мен,Maine
увидела,saw the
передать,transfer to
войти,to come in
везде,everywhere
бобби,Bobby
кое,something
солнце,the sun
устал,weary
сделку,deal
настоящее,the present
потеряли,lost
мм,mm
класс,class
смотрел,looked
держите,keep
закончил,finished
марк,Mark
джерри,Jerry
потрясающе,breathtakingly
обещал,He promised
убедиться,make sure
скажете,tell
факт,fact
уничтожить,destroy
страны,countries
учитель,teacher
полно,full
начинается,begins
бежать,run
операции,operations
сукин,bitch
ошибку,a mistake
украл,stole
данные,data
двоих,two
света,Sveta
запах,smell
придурок,moron
найди,find
лучшая,best
вернулись,returned
убирайся,get out
боишься,fear
окно,window
убийстве,killing
ситуации,situation
костюм,costume
казалось,it seemed
доказательства,proof of
обсудить,discuss
жил,I lived
принимать,take
море,sea
оставила,leave
судя,judging
штука,thing
ситуация,situation
возможности,capabilities
следы,footprints
генерал,Gen.
рождество,Christmas
платить,to pay
пытались,tried
забрал,took away
эрик,Eric
самым,most
великолепно,sumptuously
песню,song
билл,Bill
помогать,to help
по-прежнему,still
новость,news
силу,force
жертва,victim
баксов,bucks
другими,other
обожаю,adore
достать,get
вовремя,during
появился,appeared
кларк,Clark
тише,hush
одежду,clothes
приходит,comes
расследование,investigation
зато,but
девушкой,woman
яйца,eggs
зависит,It depends
принадлежит,belongs
согласно,according to
предложить,offer
уровень,level
любила,I loved
вашему,your
собака,dog
знак,sign
чисто,purely
срочно,urgently
начало,Start
вне,out
клуб,club
искал,I sought
собираетесь,going
души,the soul
расслабься,Relax
супер,super
ждал,I waited
неправда,not true
доступ,access
куча,heap
туалет,restroom
знакомы,familiar
офисе,office
сука,bitch
слегка,slightly
ждут,are waiting
песня,song
наверх,upstairs
небольшой,small
анна,Anna
красиво,beautifully
запись,record
причины,causes
работала,I worked
ч,h
состояние,state
белый,white
зайти,go
дважды,twice
думай,think
центр,center
дружище,buddy
исправить,fix
джейк,Jake
использовал,I used
идешь,going
желание,a wish
книга,book
многих,many
разные,various
полковник,Col.
оказался,turned
идеи,ideas
добраться,get
нос,nose
возьмите,take
матерью,mother
суда,vessels
каково,what
сила,force
уходите,leave
рука,arm
повсюду,everywhere
лучшие,best
сделано,done
взгляд,sight
наркотики,drugs
бери,take
судья,referee
чушь,nonsense
плохая,bad
система,system
практически,practically
выходные,weekend
лили,Lily
суде,court
еда,food
док,dock
узнаю,learn
нож,knife
написать,write
собиралась,I am going
чай,tea
о.,about.
глазах,eyes
остальное,rest
брак,marriage
представляешь,idea
остальных,others
мимо,by
поеду,go
потерять,lose
старые,old
звук,sound
частью,part
приехала,has arrived
нет-нет,no no
даст,will
спит,sleeps
пытаешься,try
выглядеть,to look like
беременна,pregnant
увижу,I see
спал,I slept
вкус,taste
крис,Chris
поезд,a train
пиво,beer
уехал,left
устроить,to arrange
радио,radio
обе,both
команду,team
безумие,madness
решить,decide
солдат,soldier
ме,IU
мальчика,boy
короля,King
проще,easier
особо,specially
х,x
ребенком,child
дедушка,granddad
мертва,dead
церкви,churches
результаты,results
имена,names
беспокойся,worry
неприятности,trouble
камеры,camera
отправить,to send
брайан,Brian
здание,building
шон,sean
возле,near
защищать,protect
плохие,bad
работают,work
нью-йорк,New York
называть,call
третий,third
способен,capable
удивительно,surprisingly
смысла,meaning
долг,debt
боли,pain
клэр,Clare
первую,first
стыдно,shame
случиться,happen
сестры,sisters
называют,call
райан,Ryan
счёт,score
слушаю,listen
мартин,Martin
возвращаться,return
выбрал,selected
черту,hell
инспектор,inspector
земля,Earth
оказалось,it turned
сходить,descend
головой,head
плюс,a plus
оружия,arms
музыку,music
явно,clearly
сказано,said
назвал,He named
стрелять,shoot
своём,his
столь,so
ушли,gone
последняя,latest
лицом,face
решать,solve
остались,remained
по-настоящему,for real
заплатить,pay
разу,ever
жене,wife
даю,I give
центре,center
началось,started
президента,president
сообщить,to report
кучу,heap
чтo,chto
звали,named
принял,I took
придёт,will come
рода,kind
справиться,cope
поцелуй,kiss
по-другому,differently
сбежал,He fled
еды,food
встречались,met
прошла,I passed
команде,team
оставлю,leave
ищем,are looking for
согласна,agree
останусь,stay
тест,test
прошлое,past
смотришь,look
код,the code
двумя,two
шучу,just kidding
человеку,person
выбраться,out
следовало,should
продать,sell
нe,ne
которому,which
звонила,phoned
поставить,put
клиент,customer
здоровье,health
прочь,away
приду,Attending
держу,hold
поговорю,talk
похожа,like
рассказывать,narrate
играл,I played
стив,Steve
заставил,forced
встретил,met
по-твоему,in your opinion
самолет,plane
кости,bones
сбежать,elope
прекратить,terminate
уйду,leave
ъ,b
принесу,will bring
власти,authorities
ушёл,gone
остается,remains
постели,bed
вернись,come back
впереди,ahead
захочет,wants
реально,really
двадцать,twenty
квартире,apartment
маленькой,small
важное,an important
ешь,eat
бар,bar
жива,alive
дает,It gives
завтрак,breakfast
любовью,love
зря,for nothing
полицейский,policeman
принес,brought
ƒа,ƒa
мария,Maria
страшного,worry
устала,weary
прекратите,stop
убери,take away
нравишься,likes
заходи,come on
энни,Annie
сработает,work
старая,old
скучаю,miss
заявление,statement
плохого,bad
поймать,to catch
ответственность,a responsibility
прощай,goodbye
девять,nine
осталась,remained
наедине,alone
выбрать,select
обвинения,accusations
все-таки,nevertheless
ммм,mmm
that,that
компанию,company
поедем,go
цветы,flowers
имела,I had
ждёт,waiting for
камеру,camera
новых,new
преступление,a crime
трех,three
кусок,a piece
пропал,missing
посмотрю,look
медленно,slow
душу,soul
получит,get
рады,glad to
значения,meaning
забрали,took
пойдешь,go
сохранить,retain
привести,lead
видит,sees
информации,information
войну,the war
письма,writing
бумаги,paper
холодно,cold
руками,hands
томас,Thomas
упал,down
моими,my
отношение,attitude
карл,Charles
ма,ma
операция,operation
судьба,fate
of,of
любимый,favourite
задать,ask
папочка,daddy
внезапно,suddenly
временем,time
представляю,I represent
церковь,church
решения,solutions
чувствовал,felt
чудесно,wonderful
специально,specially
маленькие,small
дурак,fool
ад,hell
мальчики,boys
начинает,starts
компьютер,a computer
станешь,will become
продолжайте,go ahead
роберт,Robert
урок,lesson
кровью,blood
глазами,eyes
занимается,deals
линии,lines
люк,Luke
брать,take
давать,give
вновь,again
трое,three
девушек,girls
чё,Th
услышал,heard
вызвать,cause
работали,worked
позвонила,call
бороться,fight
остановись,stop
вариант,option
послал,sent
назвать,call
просила,I asked
ход,course
положение,position
вернемся,return
уходим,leave
уилл,Will
связано,related
каждой,each
звонит,rings
роман,novel
миру,peace
беспокоит,worried
кэтрин,Catherine
номера,number
комнаты,rooms
прекрасная,beautiful
победить,beat
