Romanian,English
hmm,hmm
aşteptam,we are waiting
ridică-te,Arise
tipi,guys
liberă,free
te-au,you have
găsit-o,found
câinele,dog
creat,made
verde,green
scriu,write
maria,increase
profesor,professor
ofiţer,officer
rezolva,solve
listă,list
extrem,extremely
bei,bey
huh,huh
muzică,the music
verific,CHECK
bază,the base
secrete,secret
dan,dan
frica,fear
păr,hair
prânz,Lunch
sotia,wife
ăsta-i,that's
moare,dies
siguranta,safety
martin,Martini
fierbinte,hot
animale,animated
pete,spots
miroase,it smells
arate,plowing
prezint,present
că-mi,that I
navă,vessel
începi,start
ceri,ask
iesi,out
intr-un,a
şef,head
îngrijorat,anxious
trăit,lived
cuvintele,words
oras,Town
neregulă,wrong
pahar,glass
creierul,brains
scăpa,get rid
bănuiesc,I presume
regulile,rules
iubirea,love
misiunea,mission
permis,allowed
oprim,stop
inseamna,means
existat,there
atacat,attacked
corp,body
practic,practically
vinde,sell
est,east
a-l,to him
l-aţi,you
ridicat,picked up
bunicul,the grandfather
neagră,black
eric,eric
urgenţă,expedite
perioadă,period
treacă,passing
puțin,little bit
tipii,yell
ieşim,out
datorită,due to
programul,program
kate,kate
tv,tv
cunoaşte,know
lucrul,working
lasa-ma,let me
kevin,kevin
vândut,sold
înţelegere,understanding
trist,sad
băutură,drink
asculţi,listen
decizia,Decision
îndrăgostit,lover
interior,inside
durerea,pain
viu,alive
and,and
si-a,and
avocatul,lawyer
it,it
interiorul,within
atâtea,many
te-ar,You would
băgat,involved
supărată,upset
conform,conformable
aruncă,throws
cadavrul,body
că-l,horse
vizită,visit
revenit,return
blocat,blocked
guvernul,government
linie,line
lovitură,coup
or,or
c-o,c-a
trăiască,live
amy,amy
bărbaţii,men
tragi,shoot
mesajul,the message
explica,explain
pregătită,ready
poată,can
frig,cold
to,to
părut,thought
stim,We know
scott,scott
thomas,thomas
sir,row
situaţie,situation
vârstă,age
san,breast
trăieşte,lives
mi-o,Me
afle,learn
liceu,high school
plăcută,pleasant
agentul,agent
atins,reached
grozavă,great
regret,regret
foloseşte,uses
rele,bad
interesat,interested
degrabă,rather
căuta,search for
făcută,made
picior,foot
acestor,these
walter,walter
arunca,THROW
întuneric,darkness
inteligent,intelligent
brian,brian
cărţi,books
comanda,command
stricat,broken
contact,contact
fericire,happiness
treia,third
nu-şi,not and
înaintea,prior to
pădure,forest
ordin,order
soarele,sun
vorbiţi,do you speak
nuntă,Wedding
lungul,over
prind,catch
decizie,decision
relaţie,relationship
stiti,know
hotărât,decided
încântat,Pleased
privinţa,regard
că-ţi,how many
viața,life
preşedintele,President
dur,rough
şefu,governor
poarta,gate
larry,larry
copiilor,children
membru,member
ocazia,opportunity
întâlni,meet
mr,mr
uităm,look
bord,board
ocupa,busy
surprins,surprised
tara,the country
tânără,girl
descurci,deal
armată,army
puteai,could
citesc,I read
sticlă,glass
da-mi,give me
toți,all
anii,years
nu-s,I'm not
distanţă,distance
şansa,chance
tăiat,cut
trăieşti,live
dat-o,given
speram,hope
de-aici,from here
oricând,whenever
cauză,Cause
iartă-mă,excuse me
întrebam,wondering
animal,animal
mănânc,eat
poze,PICTURES
ultimii,recent
ţi-ar,you would
culcare,sleep
taxi,taxi
restaurant,restaurant
realizat,accomplished
dragule,dear
martor,BLANK
crima,crime
patul,the bed
culcat,lying down
ce-o,what a
unchiule,uncle
rachel,Rachelle
curent,current
beat,drunk
team,fear
vreodata,ever
ridica,pick up
gunoi,trash
soare,sun
erou,hero
cateva,some
îți,you
alţi,other
jason,jason
costum,costume
gât,neck
pregătiţi,prepared
continui,continue
raportul,the report
roşu,Red
anna,anna
istoria,the history
zilei,day
impreuna,together
unite,United
bucătărie,kitchen
schimbare,change
starea,mood
foloseşti,use
nivel,level
lipseşte,missing
plânge,cry
responsabil,responsive
întoarcă,return
vest,west
suflet,soul
iubitule,boyfriend
bătaie,beat
aducă,bring
nivelul,the
omorî,kill
scenă,scene
test,test
vorbeam,talking
maine,tomorrow
nenorocitule,motherfucker
d-na,Ms.
praf,dust
milă,mercy
ucidă,killing
tarziu,Late
pierdem,lose
proteja,protect
barca,Boat
inceput,beginning
aproximativ,approximate
intrăm,enter
nasul,nose
comun,common
spuneam,said
clipa,moment
kim,kim
