Vietnamese,English
đại,contemporary
tiếp,more
tình,love
ơi,my
bên,side
đồng,copper
vui,fun
ổn,is fine
gian,time
tâm,center
cứu,assist
đề,recommended
i,i
sinh,born
trả,pay
bộ,the set
đều,are
máy,machine
vài,few
vị,you
nước,country
giống,like
đánh,fight on
xảy,happened
chơi,play
trai,clams
tối,dark
cảnh,scene
câu,the sentence
kia,that
ko,ko
giữ,Hold
hành,onions
vô,wealth
kết,link
bởi,by
hiện,current
giới,world
vừa,fit
tiếng,language
báo,newspaper
tưởng,believe
chờ,await
lo,worry
đẹp,pretty
hôm,Thursday
viên,member
hình,Figure
đáng,worth
vấn,issues
trọng,weight
bình,jar
đủ,enough
oh,oh
cám,bran
lớn,big
sáng,shining
bác,uncle
lâu,long
thần,God
sợ,scared
biệt,special
thông,information
cổ,neck
giải,solution
phụ,extra
thường,often
thương,love
vẻ,draw
cuối,final
rõ,clear
cửa,door
hợp,well suited
trung,Mid
bản,copy
dùng,use
ôi,Oh
tra,investigation
bắn,shoot
cầu,bridge
ba,father
hội,festival
t,t
đội,team
tiên,first
thân,Dear
chạy,run
thêm,more
đứa,children
thay,rather
mang,Carry
quân,military
xác,verified
đời,existence
ngủ,sleeping
trời,God
đổi,change
nhỏ,small
liên,venture
tội,sin
nghĩa,means
an,security
điện,electricity
dù,albeit
bay,fly
nữ,female
vệ,protection
phát,release
đối,for
c,c
đêm,night
trẻ,young
bệnh,sick
gần,near the
hoàn,Full
trường,schools
đợi,wait
tính,compute
nhỉ,huh
đất,land
đứng,stand
ngồi,sit
trông,looks
chiếc,the
n,n
xa,far
coi,watch
chứng,proof
ảnh,image
kể,including
khó,difficult
quyết,settlement
chịu,bear
năng,power
tập,collection
súng,guns
vọng,outlook
giá,price
hoặc,or
sắp,almost
xong,accomplished
tử,death
đàn,Forums
sẵn,available
kiểm,inspection
mở,open
cao,high
uống,to drink
chuyển,moved on
dừng,stop
ít,little
dưới,below
đình,Home
chủ,master
chọn,choose
điên,crazy
vật,object
thử,to try on
thống,system
kiếm,sword
mắt,eye
trưởng,Secretary
kế,next
phần,part
biến,Out
lòng,heart
sư,Professor
loại,species
mạnh,strong
thuốc,medicine
đấu,tournament
thức,wake
dễ,easy
vợ,wife
dụng,Its
y,Health
trái,left
quái,hell
phía,the
tiến,up
đau,pain
yeah,yeah
điểm,point
lực,force
sai,wrong
ng,ng
tệ,Currency
chắn,sure
quả,fruit
khốn,woe
sàng,ready
quên,forget
là,was
phút,minute
minh,intelligent
gã,guy
mừng,Welcome
kỳ,Any
hơi,a little bit
a,a
chân,foot
kinh,business
tuần,week
có,have
mua,buy
thủ,prime
đặc,special
may,sew
duy,only
trí,mind
tàu,ship
sức,health
trò,trick
quyền,permission
kìa,behold
mỗi,every
quý,precious
phố,city
buổi,day
thư,letters
hạ,Summer
bài,Posts
đặt,put
tháng,month
hôn,kiss
mai,roof
tài,User
diễn,to act
to,big
the,the
phép,permit
nổi,well
pháp,France
khách,guest
đôi,double
hiệu,mark
mặc,wear
vũ,universe
yên,yen
quốc,Nations
máu,blood
hệ,generation
đơn,single
khí,gas
khiến,cause
phá,breaking
tục,continue
thú,interesting
tuổi,year old
dân,people
chuẩn,standard
tạo,create
cá,fish
luật,the law
dẫn,guide
phục,s
m,m
nhiêu,much
mau,quickly
hiểm,insurance
bàn,table
hoàng,King
độ,point
mạng,network
sách,book
chó,dog
tiêu,pepper
ư,u
phạm,commit
chúc,wish
nhiệm,responsibility
thoại,phone
tinh,refined
tránh,avoid
gây,cause
thúc,ends
khu,region
danh,name
tranh,paintings
ổng,ổng
thắng,prevail
cây,tree
xấu,bad
you,You
xuất,Recommended
áo,shirt
s,S
sếp,boss
hy,hy
tiệt,Sterilizers
chí,Releases
cấp,grade
giả,false
xử,treatment
tấn,ton
mật,Secured
thiết,Facilities
khá,rather
liệu,Whether
địa,geography
lạc,lost
bán,sell
trình,submit
tượng,statue
thoát,exit
tạm,provisional
ngon,tasty
đoán,guess
thiên,Sky
giáo,spear
mời,invite
rời,leave
thanh,bar
okay,okay
dự,projected
chàng,guy
lệnh,Comeinand
l,l
hứa,promise
nằm,lie
sớm,Soon
hey,hey
dối,false
dịch,Translate
viết,write
hoạch,planning
vời,great
giữa,Between
ma,ghost
bóng,ball
hộ,Flat
nghỉ,Vacation
sử,history
nạn,victims
hại,detrimental
căn,Apartments
tim,heart
nguy,risk
hồ,lake
dậy,up
băng,ice
mục,items
phim,movie
giỏi,great
viện,hospital
hướng,direction
tế,health
tĩnh,static
thuật,arts
nhóc,Kid
đọc,read
kiểu,type
trị,treatment
phản,reaction
giao,delivery
tù,prison
rối,puppet
trốn,hide
rượu,alcohol
đá,rock
bước,steps
dấu,sign
ngu,sleep
đức,virtue
cười,laugh
tư,investment
cánh,wing
vòng,ring
mỹ,America
hoa,flower
lập,create
lạ,strange
tổng,total
ban,department
đóng,closed
tác,Business
hề,clown
lượng,volume
tụi,us
càng,more
thận,kidney
di,cell
bánh,cake
da,skin
ngốc,idiot
án,court
đám,group
tham,taking
tức,News
văn,Literature
mong,hope
già,old
nghiệp,Karma
thuyền,boat
bí,pumpkin
trang,Page
nè,nè
lũ,flood
hồi,time
độc,poison
hạnh,happiness
khỏe,strong
hẹn,appointment
gửi,to send
đùa,funny
trừ,minus
cáo,fox
khoảng,space
nhảy,dance
giác,sensory
thầy,teacher
đầy,full
khoan,bore
món,dish
khả,availability
phi,fees
nghiệm,experience
hóa,goods
cẩn,carefully
suy,failure
đông,bronze
suốt,throughout
vua,king
kéo,drag
chồng,husband
thất,the seventh
đô,capital
nhật,Update
nghi,Comfort
khủng,crisis
tiếc,regret
dành,reserved
thị,marketing
lái,driving
tương,relatively
bữa,Accessible
của,of the
chả,rolls
kiếp,lifetime
trận,battles
im,im
bức,picture
mãi,forever
triệu,million
quanh,around
màu,color
buồn,sad
chúng,they
đã,is already
riêng,private
biển,sea
nàng,she
dài,long
đỡ,support
sơ,Profile
ngờ,unexpected
nổ,explosive
đạo,director
đem,brought
linh,flexibility
chức,officials
chất,matter
thẳng,straight
chống,fight
mơ,dream
tổ,nest
hoạt,activity
gì,what
mắn,Luckily
lịch,calendar
gắng,to
quen,familiar
chừng,some
thù,feud
đó,there
sẽ,will
khóa,lock up
được,OK
đuổi,evict
nguyên,original
cầm,hold
thuộc,of
lửa,fire
uh,uh
lính,soldier
ghét,hate
dạy,teach
ngăn,compartment
kiến,is
thả,drop
thu,collection
thiếu,short
ngôi,person
lợi,profit
nam,male
chia,share
cắt,cut
dây,cord
lắng,about
thậm,maybe
sở,department
nhập,import
trách,accountability
ghi,write the
đen,black
lão,aging
cưới,Wedding
hẳn,really
ly,glass
âm,minus
nghị,conference
ngựa,horse
binh,infantry
cũ,old
vàng,yellow
phân,distributed
hủy,cancel
phương,the
v,v
trợ,Accessibility
ngoại,exchange
tây,west
tòa,court
tai,ear
truyền,TV
đạn,bullet
kì,stay
ký,sign
nghiêm,seriously
tá,dozen
vết,patch
nhắc,prompted
đảm,make
tiệc,feast
dám,dare
la,la
ok,ok
quần,trousers
mối,termites
chấp,challenge
phiền,mind
th,th
và,and
đổ,to pour
lựa,selected
ràng,clear
nửa,half
lầm,wrong
chung,general
chế,processing
ước,to wish
chi,expenditure
một,one
cướp,rob
hi,hi
john,John
nhờ,thanks
rồi,already
này,this
bại,lose
quỷ,devil
huy,commander
ch,ch
đằng,behind
tiểu,elementary
hát,sing
cử,election
ca,shift
cưng,my babe
mã,codes
chuyến,trip
thi,exam
khăn,towels
làm,do
phải,right
lễ,feast
lai,crossbred
vượt,reached
lối,manner
thuyết,theory
tha,excuse
nóng,hot
vùng,region
phúc,happiness
giấy,paper
tích,integrated
người,people
thái,Status
nhạc,music
tận,take
rắc,sprinkle
u,u
buộc,tie
xét,Reviews
kích,fire
đoàn,group
tiết,more
thịt,meat
tóc,hair
trắng,white
thuận,Conveniently
phù,compliance
rơi,fall
chăm,hard
lạnh,cold
cực,pole
nhóm,group
kim,Kim
b,b
tỉnh,the provincial
cộng,community
mái,roof
ty,companies
cung,supply
săn,hunting
cuốn,coil
tướng,Minister
dữ,data
giận,angry
thượng,rooftop
miệng,mouth
soát,control
sản,Is
tăng,increase
ứng,application
bắc,north
vi,Because
trộm,thieves
phí,Free
sửa,repair
lệ,charter
cà,coffee
lừa,trick
mức,levels
túi,handbag
thánh,St
đỏ,red
giây,seconds
hưởng,awarded
yếu,weak
dõi,Subscribe
and,and
ích,Additional
trại,camp
cơn,gust
khai,declare
sâu,deep
vương,King
thở,breath
jack,jack
tí,little
ah,ah
diện,comprehensive
hồn,soul
hầu,almost
đảo,island
tín,credit
xúc,contact
nỗi,that
phủ,government
biểu,Popular
hòa,Air
loạn,disorder
nặng,heavy
tấm,sheet
lớp,Class
bom,bomb
nh,nh
chuyên,specialized
ác,evil
bận,engaged
huynh,brother
dĩ,course
chương,chapter
lí,thread
chữa,cure
lãnh,receive
đột,raid
kính,glasses
rút,withdraw
phóng,launch
ở,in
thỏa,deal
khỉ,monkey
á,Asian
lộ,way
cạnh,edge
kỹ,engineering
hậu,Queen
hùng,hero
sang,to
thề,swear
đoạn,segment
sóc,squirrel
khẩu,export
luyện,training
thăm,visit
giản,Simplified
sạch,clean
frank,frank
chim,bird
xếp,ratings
nha,nha
quán,shop
mùi,odor
nó,it
ánh,light
đón,to pick up
biết,know
lá,leaves
tồi,wrong
phong,room
ngạc,pleasantly
giấu,hide
thủy,Water
quản,management
thuê,to rent
lành,healthy
tôn,religious
tường,wall
hỏng,fail
thể,can
não,Brain
new,new
tầm,Games
ê,Hey
vực,area
vậy,Thus
loài,species
hộp,box
xanh,blue
tắm,shower
tắt,Turn off
ngừng,cease
siêu,super
dọn,clear
nhắn,Visitor
ấn,publications
thừa,excess
ô,umbrella
nguyện,vow
dựng,up
sân,Yard
nói,to speak
thế,How
nợ,in debt
lặng,quiet
nội,internal
mùa,season
it,it
đập,hit
diệt,Removal
chà,rub
tầng,floors
hạn,term
kiện,to sue
mắc,suffer
trực,online
đài,stations
muộn,late
bạc,silver
sót,shortcomings
lưu,save
can,intervention
quà,gift
say,drunk
đống,heap
khắp,around
hút,absorb
giám,director
giường,bed
lại,again
chặn,block out
hảo,perfect
với,with
xinh,beautiful
cục,Department
trấn,town
in,print
du,travelers
núi,Mountain
đích,destination
nắm,hold
chạm,touch
nguồn,source
nào,What
chụp,take a shot
phê,get high
h,H
hữu,property
khoa,faculty
so,Compare
truy,access
thua,lose
tồn,N
tàn,disabled
xây,construction
dính,sticky
bang,states
ngân,banking
ném,throw
tờ,sheet
chìa,key
nuôi,feed
đói,hungry
kh,kh
nhầm,confused
đẩy,to push
of,of
khóc,cry
kêu,sounding
giấc,dream
dục,fitness
khổ,suffering
bốn,four
chặt,chop
ẩn,hidden
hiệp,united
úy,Captain
no,no
áp,pressure
chán,bored
rừng,Forest
nghệ,technology
mẫu,form
trễ,late
luận,Comments
thang,ladder
hào,trench
cậu,boy
sổ,register
đèn,lamp
lưng,back
phận,department
quy,provided
vận,campaign
khởi,launch
chậm,slow
biên,record
tộc,ethnic
chữ,word
cháy,Fire
khắc,notch
dàng,easy
dòng,current
bò,cow
ngàn,thousand
hổ,tiger
dị,horror
dọa,threatened
túc,sufficiency
xứng,value
giảm,reduction
để,to
ấy,she
bầu,elected
mệt,tired
nhẫn,rings
đào,dig
trải,spread
châu,Continental
mê,crush
trạng,Condition
ngục,prison
hầm,tunnel
kỷ,th
mi,mi
tiện,convenient
tốc,Expressway
hoang,wilderness
tung,launched
gà,chicken
chiều,pm
sam,sam
whoa,whoa
lỗ,hole
ừm,umm
thiệt,real
mệnh,fate
vỡ,breaking
triển,growth
dương,positive
những,the
cái,the
sắc,sharp
me,me
nghiên,research
tặng,donate
cư,Residential
sáu,six
ám,hinted
dao,knife
my,my
sa,sa
lạy,prostrate
hải,customs
vinh,glory
tổn,loss
đệ,followers
mũi,nose
o,o
nga,Russia
tóm,summary
chảy,run
lùi,backward
ninh,security
ngoan,good
mà,but
xung,pulse
dạ,yes
tỏ,show
hứng,inspiration
toán,maths
hài,comedy
york,york
vai,shoulder
khám,examination
che,cover
mông,butt
sông,river
bội,multiple
ống,tube
vĩ,great
bi,bi
hồng,pink
miễn,exempt
ghế,chair
đến,come
đốc,Director
ha,ha
lương,wage
thẩm,competent
d,d
ngược,reverse
thiệu,recommend
giọng,tone
khiển,control
dặm,mile
thưởng,bonus
chối,deny
bụng,stomach
niềm,conviction
hỏa,fire
khoản,Clause
well,well
peter,Peter
kịch,dramatic
rộng,wide
sạn,Hotels
tán,spread
phán,negotiations
james,james
bè,raft
gió,wind
nối,link
hấp,steamed
thoải,comfortable
thờ,church
lôi,haul
cập,update
giam,prison
đốt,burned
nhẹ,light
chiếm,accounting for
họp,meetings
ghê,Horror
e,e
mộ,tomb
vẽ,painting
on,on
địch,the enemy
kho,warehouse
dì,aunt
cắp,theft
phẩm,Products
đâm,puncture
chuột,mouse
wow,wow
that,có
muốn,want
tạp,complex
đeo,wear
hãi,fear
phu,elaborately
trao,handed out
cản,clearance
lao,lao
nghề,occupation
màn,screen
cặp,bag
răng,tooth
bạo,violence
trống,empty
cả,both
trụ,pillar
thám,detective
cụ,instruments
xuyên,trans
canh,soup
cờ,flag
khiếp,terror
hạt,seed
vớ,sock
thí,contestants
cứng,hard
thiện,friendly
xương,bone
thợ,artisan
michael,michael
thảm,carpet
lan,spread
tố,factor
mèo,cats
tan,fade
rồng,dragon
trăm,hundred
môn,subjects
điệp,messages
phạt,punish
hò,Dating
um,um
kẹt,trapped
cú,shot
long,dragon
ngực,chest
ben,ben
đua,race
dạng,shape
rồ,Madness
đế,insole
bả,baits
lục,green
trùng,coincidence
xưa,old
xã,commune
g,g
đe,anvil
khuyên,recommend
hư,bad
rửa,wash
tùy,custom
sóng,wave
mình,his
chỉ,just
giày,shoes
thẻ,card
giàu,rich
khứ,past
treo,hang
leo,climb
cân,scales
harry,harry
lãng,romantic
bãi,park
võ,martial
cóc,Warts
tắc,switches
lẫn,and
câm,dumb
trần,bare
cổng,gate
cãi,argue
lang,lang
cận,access
ngọn,top
gấp,urgently
bơi,swim
bẩn,dirty
bám,cling
trưa,noon
phó,deal
thai,thai
mẽ,strong
chuyện,matter
đụng,bump
mike,mike
jim,jim
hung,assault
đồn,stronghold
tải,downloads
claire,claire
nhiệt,heat
sứ,ceramic
đòi,claim
lỡ,Miss
tống,served
ép,squeeze
dần,gradually
lui,retreat
mạch,circuit
kịp,keep
bật,pop
hối,exchange
thấp,short
đạt,reached
đáp,answer
charlie,charlie
cỡ,size
về,about
đựng,contain
ấm,tepid
còn,still
nhiễm,infection
tước,Stripping
nhắm,aiming
rachel,rachel
rác,garbage
cởi,take off
đc,DC
mồm,mouth
xâm,invasion
don,don
thật,real
mảnh,Piece
david,david
ngón,finger
cất,build
khẩn,emergency
chiếu,mat
dụ,example
vẩn,suspensions
tuy,though
bia,beer
chấm,dot
joey,joey
thấy,see
dung,capacity
đậu,bean
phiếu,promissory note
đấy,there
tom,tom
họ,surname
mười,ten
thơ,poem
mưu,staff
bờ,edge
ảo,virtual
xu,coin
ngã,fall
nát,crushed
dũng,courage
vé,ticket
cũng,also
lĩnh,leader
ngang,transverse
gan,liver
chai,bottle
trà,tea
căng,strained
ross,ross
đăng,to post
man,false
kí,Register
lát,slice
r,r
thèm,cravings
alex,alex
dạo,walking
bếp,a kitchen
chôn,bury
liều,dose
trúng,hit
đéo,đéo
all,all
đương,or
dẹp,up
thì,then
đếm,count
vào,into the
george,george
doanh,business
what,what
bảy,seven
chỉnh,correction
mưa,rain
góc,corner
niệm,anniversary
làng,village
giáng,fall
đa,multi
ngơi,business
các,the
phức,multiple
dựa,based
we,chúng
hỗ,support
miếng,bit
thảo,beautiful
fbi,fbi
sỹ,Graduate
giờ,hours
tái,re
nô,slavery
hmm,hmm
hoại,septic
thăng,ascend
huấn,training
gác,upstairs
trăng,moon
joe,joe
ngắn,short
mô,tissue
túy,Obtained
chứa,contain
dầu,oil
nấu,cook
nông,shallow
chớ,Do not
nãy,earlier
oliver,oliver
thách,challenge
cấm,prohibit
nâng,elevate
ph,ph
gương,mirror
is,is
nghĩ,think
đỉnh,top
điếm,prostitute
sắt,Iron
sẻ,shall
dứt,stop
hân,pleased
lộn,confused
mạo,Appearance
hoảng,Depression
tu,tu
mù,blind
bẫy,trap
nữa,again
tuyên,states
ngại,constraints
bị,equipment
kệ,shelves
lượt,in turn
huh,huh
your,ngôn
thổi,blow
thập,gathering
will,will
thùng,bin
ủng,supporters
ôm,hug
à,à
họa,paint
buôn,trafficking
dâm,sex
phẫu,surgery
trứng,egg
môi,each
trạm,station
chứ,rather
tuyết,snow
cải,improvements
cốc,the cup
mát,cool
mary,mary
phiên,turn
xóa,erase
lùng,down
bảng,board
ho,cough
mụ,she
nếu,if
gi,gi
tả,description
khổng,giant
cắn,bite
ngọt,sweet
đấm,to punch
khiêu,sexually
gấu,bears
house,house
giành,eagerly
quang,optical
móc,hanger
giãn,relaxing
dường,seems
rắn,snake
jimmy,jimmy
bào,cell
quảng,advertisement
ví,wallet
bão,storm
song,yet
ức,depression
quyển,vol
ghé,Visitors
điều,thing
bob,bob
mày,you
sơn,paint
vờ,pretend
liền,instant
huyết,blood
hắn,his
mượn,borrow
rất,very
đớn,excruciating
vì,because
barry,barry
tách,Cup
bệ,dais
chóng,quickly
kín,private
sự,the
tr,tr
niên,young
chở,carry
hét,shout
ngữ,language
danny,danny
lông,hair
hạng,class
lồ,Colossi
cớm,cop
pháo,fireworks
khát,thirsty
ga,ga
suýt,almost
ung,rotten
nguyền,curse
paris,paris
phỏng,interview
max,max
nhục,humiliated
tuyến,online
tốn,consuming
cam,oranges
mộng,dream
hòn,islet
hè,summer
mũ,hat
ray,ray
hận,hate
kĩ,carefully
paul,paul
bồ,bồ
gắn,apply
hà,Galaxy
cút,quail
p,p
sàn,floors
cứt,sit
vãi,scatterings
for,for
tạ,weightlifting
sói,the wolf
chìm,sank
gián,cockroaches
tủ,chest
đúng,it's correct
hèn,cowardly
táo,apple
trì,prime
trá,indirection
quê,Village
nền,background
kiên,firm
kẹo,candy
be,beige
sarah,sarah
lưỡi,tongue
bày,presents
buông,let go of
trượt,to slide
gãy,fractures
bông,cotton
kem,cream
bá,promotion
bill,bill
vân,cloud
thải,waste
nghiện,addiction
liệt,paralysis
cần,necessary
vội,hurry
sữa,milk
óc,brain
hương,incense
cỏ,grass
lô,parcel
khuôn,mold
hiến,give
mò,curious
việc,job
cương,diamond
tri,tri
miền,domain
hãy,let's
monica,monica
phe,party
this,this
mark,mark
khôn,wise
kháng,resistance
xứ,land
ngầm,implicit
trừng,punished
nướng,Grilled
vây,besiege
muội,soot
khối,grade level
cát,sand
trôi,drift
bóp,squeeze
manh,vulnerable
tiệm,shop
mì,noodles
gói,package
mồi,quarry
điệu,tone
god,god
nick,nick
thứ,kind
mồ,sweat
khùng,crazy
thổ,brothel
tháo,remove
gốc,origin
bụi,dust
dâu,strawberry
tv,television
giai,the period
tuân,compliance
lầu,upstairs
đảng,party
mập,fat
bar,bar
xoay,turn
sara,sara
mạn,romantic
đuôi,rear
re,re
ân,grace
tỷ,Billion
sốt,fever
go,go
nhốt,confine
đần,đần
tám,eight
bỏng,burn
bồi,compensation
dở,bad
know,know
âu,World
emily,emily
chọc,to poke
pha,mix
k,k
mến,Dear
gởi,send
hôi,foul
thỉnh,invite
mỏi,fatigue
tháp,tower
khô,dried
nhát,shy
nhảm,so lame
mọi,all
chandler,chandler
tươi,fresh
kỉ,century
ngắm,contemplate
henry,henry
hô,coral
chín,nine
ngôn,discourse
từ,from
lee,Lee
tommy,tommy
nút,knot
li,li
by,by
tỉ,billion
mạc,Tent
tang,mourning
thoảng,Occasionally
tởm,loathe
hỗn,mixed
đít,ass
đuối,drowning
bốc,loading
rũ,shake
tiêm,injection
đền,temple
tới,next
xích,leash
cạn,shallow
vứt,throw
ngũ,sleep
xạ,radiation
giỡn,joking
phái,sect
đạp,bicycle
dò,probe
triều,Dynasty
truyện,story
cược,betting
billy,billy
nương,Hilly
anna,anna
vĩnh,permanent
đừng,do not
đĩa,plate
chăng,affordable
lâm,forestry
ruột,intestine
giơ,jam
kém,least
jane,jane
vầy,Thus says
hít,breathe
tròn,round
trói,rope
giật,shock
heo,stale
he,heh
carl,carl
van,valve
dave,dave
xóm,neighbors
hoan,Festival
gợi,prompt
tìm,Find
tịch,President
tụ,convergence
thiêu,incinerate
right,right
hiếp,rape
nụ,bud
lò,oven
thối,rot
chủng,strain
vườn,garden
cột,column
ốm,Sick
thụ,receptor
váy,dress
dáng,shape
nhà,home
chết,died
mét,meters
ủy,Commissioner
má,mother
mãn,complacency
chuông,bell
vỏ,bark
thiếp,card
đàng,Eden
đồi,hill
nạ,masks
bự,big
huống,case
hàn,solder
cai,withdrawal
ưu,priority
bối,given
đầu,head
eddie,eddie
mềm,soft
hang,cave
gỡ,uninstall
san,san
lặn,dive
tốt,good
with,with
cu,cu
richard,richard
tùng,spare
giáp,armor
quyến,charm
ngọc,gem
london,london
mỏ,bill
ghen,jealous
gỗ,the wood
đẻ,to lay
quỳ,kneeling
hiếm,rare
jake,jake
tia,ray
cuồng,rapturous
cỗ,deck
tân,new
quỹ,funds
viễn,telecommunications
mr.,Mr.
dã,Wildlife
tàng,Museum
diệu,magic
tràn,to spill
vốn,capital
bạn,friend
matt,matt
nhịp,rhythm
phổi,lung
điển,Dictionary
mexico,mexico
khoác,jackets
quét,to scan
than,charcoal
rẽ,turn
béo,fat
thao,Sports
thiệp,card
bực,upset
ll,ll
tony,tony
khoẻ,health
cúi,bow
trục,axis
quá,too
bổ,Cut
tô,Car
yes,yes
trinh,s
tất,all
ngớ,silly
trùm,boss
camera,camera
thỏ,rabbit
huyền,jet
gối,pillow
vững,firm
nhất,Best
kiệt,masterpiece
ngẩn,silly
lợn,pig
khích,encourage
chffff,chffff
thắc,concerns
nộp,submitted
robert,robert
sợi,yarns
chấn,injury
william,william
come,come
dưỡng,nursing
bạch,White
chiêu,moves
bớt,cut
đinh,nail
cắm,plug
daniel,daniel
nhiều,much
báu,treasure
up,ups
ngửi,smell
nghìn,thousand
dùm,Dum
đòn,blow
góp,contributed
bê,veal
xăng,gasoline
phoebe,phoebe
cơm,rice
taxi,taxi
rẻ,cheap
ngài,sir
martin,martin
loạt,series
co,co
adam,adam
khói,smoke
ý,reviews
bố,Father
gồm,including
gục,down
ti,ti
steve,steve
lót,Lining
sướng,praises
gánh,carry
ve,draw
đắn,sound
ong,ong
kevin,kevin
nghèo,poor
rốt,eventually
nhi,children
ướt,wet
hoài,nostalgic
chui,wipe
cảng,port
gạt,brushed
suất,productivity
ồn,noise
johnny,johnny
mmm,mmm
cảm,cold
xé,rend
việt,Vietnam
dean,dean
vả,fig
virus,virus
lau,wipe
bến,Wharf
râu,beard
like,like
bọn,us
ưa,Popularity
thà,rather
ngưỡng,threshold
scott,scott
xì,blow
thô,rough
trước,before
shh,shh
bậc,degree
cuộn,roll
xuân,spring
stark,stark
but,but
lặp,repeat
ngưng,cease
biện,measures
charles,charles
tò,curious
just,just
one,one
khoảnh,moments
tại,in
tuyển,selected
khớp,joint
chris,chris
robot,robot
bề,surface
are,are
sụp,collapse
trú,stay
phấn,chalk
dày,thick
đê,dike
trương,policy
lén,slip
nắng,sunny
trật,miss
arthur,arthur
lỗi,error
giang,giang
chốt,latch
vở,notebook
sung,figs
nhí,Boys
khoang,cavity
cậy,dependable
bọc,wrap
buýt,bus
đàm,phlegm
nathan,nathan
got,got
ái,charity
alô,Hello
nhàng,gentle
chff,chff
trúc,structures
bắp,corn
nôn,vomit
bà,she
mọc,grow
thắt,constriction
cự,focus
sốc,shock
aah,aah
video,video
tam,triangle
chợ,market
bó,bunch of
nhặt,pick
love,love
brian,brian
ván,boarding
hannah,hannah
hâm,Fan
baby,baby
alice,alice
lược,strategy
thuế,tax
morgan,morgan
thomas,thomas
quận,District
ngào,sweet
ngoái,last
rào,hurdle
not,not
bồn,bathtub
x,x
dan,dan
va,and
phối,Coordinator
ngành,branch
rome,rome
bọ,bug
mổ,surgery
cia,cia
get,get
phật,Buddha
ooh,ooh
thỉu,filthy
lưới,grid
dư,residual
khoá,course
chép,Copy
washington,washington
red,red
nhét,put
hệt,identically
thác,waterfall
đáo,originality
thành,Fort
chu,cycle
lắm,very
kate,kate
giặt,wash
hoạn,castrate
mươi,fifty
cụt,penguin
out,out
mẹ,mom
ngắt,interrupt
dắt,guide
ngày,day
vong,deaths
hước,humor
thạch,jelly
de,de
tầu,ships
rủa,cursed
trữ,reserve
đứt,off
bắt,catch
sống,living
jesus,jesus
kỵ,cavalry
gậy,stick
cách,way
vẫn,still
mớ,tangle
kênh,channels
cứ,themselves
rằng,that
bút,pen
nhấn,press
have,have
ghép,join
vang,wine
walter,walter
móng,nail
thuần,pure
tỏa,shine
khúc,segment
đạc,Fixtures
xông,steam
chén,Cup
bể,bellows
cài,install
hiền,meek
nhá,nhá
pete,pete
